rel_frame_id,query,top1,top5,top10,top15,ground_truth
video7176,a man is talking about space project adam,"[[7562, 1.4058587551116943]]","[[7562, 1.4058587551116943], [9609, 1.417341947555542], [9885, 1.425492286682129], [8682, 1.4259263277053833], [7431, 1.428842544555664]]","[[7562, 1.4058587551116943], [9609, 1.417341947555542], [9885, 1.425492286682129], [8682, 1.4259263277053833], [7431, 1.428842544555664], [7418, 1.4295002222061157], [9825, 1.4304927587509155], [9236, 1.431003451347351], [7828, 1.4341868162155151], [7176, 1.4342575073242188]]","[[7562, 1.4058587551116943], [9609, 1.417341947555542], [9885, 1.425492286682129], [8682, 1.4259263277053833], [7431, 1.428842544555664], [7418, 1.4295002222061157], [9825, 1.4304927587509155], [9236, 1.431003451347351], [7828, 1.4341868162155151], [7176, 1.4342575073242188], [7946, 1.434515118598938], [7501, 1.4347188472747803], [9404, 1.437896728515625], [7215, 1.437910795211792], [9821, 1.4387191534042358]]",7176
video8655,an animal is throwing a piece of junk,"[[8935, 1.368683934211731]]","[[8935, 1.368683934211731], [8044, 1.3808379173278809], [9657, 1.3857530355453491], [8929, 1.3891797065734863], [8016, 1.3894859552383423]]","[[8935, 1.368683934211731], [8044, 1.3808379173278809], [9657, 1.3857530355453491], [8929, 1.3891797065734863], [8016, 1.3894859552383423], [8125, 1.399803638458252], [9034, 1.4020320177078247], [8493, 1.4087564945220947], [7765, 1.4128930568695068], [7112, 1.4151732921600342]]","[[8935, 1.368683934211731], [8044, 1.3808379173278809], [9657, 1.3857530355453491], [8929, 1.3891797065734863], [8016, 1.3894859552383423], [8125, 1.399803638458252], [9034, 1.4020320177078247], [8493, 1.4087564945220947], [7765, 1.4128930568695068], [7112, 1.4151732921600342], [7021, 1.4159190654754639], [9452, 1.416010856628418], [8572, 1.4185264110565186], [9321, 1.4200350046157837], [8655, 1.420347809791565]]",8655
video7355,a hand print is outlined within the silhouette of a green dinosaur shape for a movie promotion,"[[7355, 1.2915410995483398]]","[[7355, 1.2915410995483398], [8811, 1.3973557949066162], [8784, 1.4138500690460205], [7135, 1.4218509197235107], [7215, 1.4524405002593994]]","[[7355, 1.2915410995483398], [8811, 1.3973557949066162], [8784, 1.4138500690460205], [7135, 1.4218509197235107], [7215, 1.4524405002593994], [9026, 1.4558199644088745], [7576, 1.4563276767730713], [7223, 1.4701367616653442], [9246, 1.4706130027770996], [7575, 1.4735615253448486]]","[[7355, 1.2915410995483398], [8811, 1.3973557949066162], [8784, 1.4138500690460205], [7135, 1.4218509197235107], [7215, 1.4524405002593994], [9026, 1.4558199644088745], [7576, 1.4563276767730713], [7223, 1.4701367616653442], [9246, 1.4706130027770996], [7575, 1.4735615253448486], [8420, 1.4764292240142822], [9885, 1.479262113571167], [7020, 1.4805960655212402], [8312, 1.48115873336792], [8783, 1.4815411567687988]]",7355
video7680,an ethiopian woman asks a child what she is good at,"[[7134, 1.3908021450042725]]","[[7134, 1.3908021450042725], [8348, 1.3936033248901367], [9228, 1.4365942478179932], [7680, 1.4371845722198486], [9515, 1.4447252750396729]]","[[7134, 1.3908021450042725], [8348, 1.3936033248901367], [9228, 1.4365942478179932], [7680, 1.4371845722198486], [9515, 1.4447252750396729], [9451, 1.4491114616394043], [8899, 1.4512388706207275], [7116, 1.4589492082595825], [8333, 1.4607006311416626], [9777, 1.4624931812286377]]","[[7134, 1.3908021450042725], [8348, 1.3936033248901367], [9228, 1.4365942478179932], [7680, 1.4371845722198486], [9515, 1.4447252750396729], [9451, 1.4491114616394043], [8899, 1.4512388706207275], [7116, 1.4589492082595825], [8333, 1.4607006311416626], [9777, 1.4624931812286377], [8604, 1.467780590057373], [7619, 1.468144416809082], [9256, 1.4739848375320435], [7542, 1.4800032377243042], [7364, 1.481911301612854]]",7680
video8572,a man grabs at snakes and throws them around the room,"[[8572, 1.3573088645935059]]","[[8572, 1.3573088645935059], [7593, 1.3662052154541016], [8815, 1.3856459856033325], [9034, 1.4154162406921387], [7034, 1.4191968441009521]]","[[8572, 1.3573088645935059], [7593, 1.3662052154541016], [8815, 1.3856459856033325], [9034, 1.4154162406921387], [7034, 1.4191968441009521], [8129, 1.4218274354934692], [7363, 1.4245502948760986], [7546, 1.4255064725875854], [7350, 1.4305158853530884], [9657, 1.4314454793930054]]","[[8572, 1.3573088645935059], [7593, 1.3662052154541016], [8815, 1.3856459856033325], [9034, 1.4154162406921387], [7034, 1.4191968441009521], [8129, 1.4218274354934692], [7363, 1.4245502948760986], [7546, 1.4255064725875854], [7350, 1.4305158853530884], [9657, 1.4314454793930054], [9878, 1.4329973459243774], [8899, 1.4346024990081787], [7732, 1.436044692993164], [9236, 1.4381294250488281], [7543, 1.4394481182098389]]",8572
video7616,an orange sports car accelerates quickly,"[[7616, 1.27243971824646]]","[[7616, 1.27243971824646], [9535, 1.3497346639633179], [9328, 1.370802640914917], [9511, 1.3810244798660278], [9622, 1.388338327407837]]","[[7616, 1.27243971824646], [9535, 1.3497346639633179], [9328, 1.370802640914917], [9511, 1.3810244798660278], [9622, 1.388338327407837], [8089, 1.3967628479003906], [9691, 1.4011259078979492], [9806, 1.4051220417022705], [7506, 1.41177237033844], [8934, 1.4140100479125977]]","[[7616, 1.27243971824646], [9535, 1.3497346639633179], [9328, 1.370802640914917], [9511, 1.3810244798660278], [9622, 1.388338327407837], [8089, 1.3967628479003906], [9691, 1.4011259078979492], [9806, 1.4051220417022705], [7506, 1.41177237033844], [8934, 1.4140100479125977], [7464, 1.4143640995025635], [8819, 1.417072057723999], [8263, 1.4178683757781982], [7354, 1.4263427257537842], [9259, 1.4267562627792358]]",7616
video8799,different letters are coming out and sounding out the way they sound,"[[9259, 1.435678243637085]]","[[9259, 1.435678243637085], [8909, 1.4358909130096436], [8267, 1.4414113759994507], [8817, 1.4449914693832397], [8075, 1.4457963705062866]]","[[9259, 1.435678243637085], [8909, 1.4358909130096436], [8267, 1.4414113759994507], [8817, 1.4449914693832397], [8075, 1.4457963705062866], [9025, 1.4480324983596802], [7780, 1.452800989151001], [8494, 1.4531059265136719], [8340, 1.4534649848937988], [7355, 1.4563400745391846]]","[[9259, 1.435678243637085], [8909, 1.4358909130096436], [8267, 1.4414113759994507], [8817, 1.4449914693832397], [8075, 1.4457963705062866], [9025, 1.4480324983596802], [7780, 1.452800989151001], [8494, 1.4531059265136719], [8340, 1.4534649848937988], [7355, 1.4563400745391846], [9695, 1.4573974609375], [8123, 1.4589550495147705], [8819, 1.4635345935821533], [7788, 1.4639976024627686], [7732, 1.464060664176941]]",8799
video9301,how to make a galaxy fighter,"[[8688, 1.3886185884475708]]","[[8688, 1.3886185884475708], [9301, 1.3908766508102417], [9256, 1.4532713890075684], [8784, 1.4546504020690918], [7363, 1.4556853771209717]]","[[8688, 1.3886185884475708], [9301, 1.3908766508102417], [9256, 1.4532713890075684], [8784, 1.4546504020690918], [7363, 1.4556853771209717], [7371, 1.4561502933502197], [8514, 1.4575724601745605], [9508, 1.459723711013794], [8488, 1.4605787992477417], [9025, 1.4632704257965088]]","[[8688, 1.3886185884475708], [9301, 1.3908766508102417], [9256, 1.4532713890075684], [8784, 1.4546504020690918], [7363, 1.4556853771209717], [7371, 1.4561502933502197], [8514, 1.4575724601745605], [9508, 1.459723711013794], [8488, 1.4605787992477417], [9025, 1.4632704257965088], [8774, 1.4657293558120728], [9609, 1.4670114517211914], [9349, 1.4680728912353516], [7560, 1.4703561067581177], [9335, 1.4714007377624512]]",9301
video8620,a woman is making a hair accessory,"[[8620, 1.3397181034088135]]","[[8620, 1.3397181034088135], [9349, 1.3847460746765137], [8423, 1.4139583110809326], [7020, 1.4188684225082397], [7560, 1.4223532676696777]]","[[8620, 1.3397181034088135], [9349, 1.3847460746765137], [8423, 1.4139583110809326], [7020, 1.4188684225082397], [7560, 1.4223532676696777], [7116, 1.4234871864318848], [8604, 1.4290430545806885], [7543, 1.4300647974014282], [9025, 1.432932734489441], [8784, 1.4341771602630615]]","[[8620, 1.3397181034088135], [9349, 1.3847460746765137], [8423, 1.4139583110809326], [7020, 1.4188684225082397], [7560, 1.4223532676696777], [7116, 1.4234871864318848], [8604, 1.4290430545806885], [7543, 1.4300647974014282], [9025, 1.432932734489441], [8784, 1.4341771602630615], [9256, 1.4343376159667969], [7170, 1.4346835613250732], [9209, 1.4349762201309204], [8869, 1.4396401643753052], [7438, 1.4399909973144531]]",8620
video9404,a black t shirted man with a hat talking about an event,"[[9233, 1.3682160377502441]]","[[9233, 1.3682160377502441], [7211, 1.389585256576538], [8670, 1.4019660949707031], [7215, 1.4027435779571533], [9404, 1.4089958667755127]]","[[9233, 1.3682160377502441], [7211, 1.389585256576538], [8670, 1.4019660949707031], [7215, 1.4027435779571533], [9404, 1.4089958667755127], [7491, 1.4168283939361572], [7110, 1.4234546422958374], [7418, 1.4252897500991821], [8072, 1.4274541139602661], [8445, 1.429816484451294]]","[[9233, 1.3682160377502441], [7211, 1.389585256576538], [8670, 1.4019660949707031], [7215, 1.4027435779571533], [9404, 1.4089958667755127], [7491, 1.4168283939361572], [7110, 1.4234546422958374], [7418, 1.4252897500991821], [8072, 1.4274541139602661], [8445, 1.429816484451294], [8301, 1.4321279525756836], [7790, 1.4345574378967285], [8650, 1.4421522617340088], [7828, 1.4430526494979858], [8817, 1.4444011449813843]]",9404
video8922,an old man shakes hands with another man and then they hug each other,"[[7200, 1.4053401947021484]]","[[7200, 1.4053401947021484], [7362, 1.4301306009292603], [8922, 1.4339680671691895], [8652, 1.4426453113555908], [7590, 1.444905400276184]]","[[7200, 1.4053401947021484], [7362, 1.4301306009292603], [8922, 1.4339680671691895], [8652, 1.4426453113555908], [7590, 1.444905400276184], [8016, 1.4477195739746094], [7110, 1.4506148099899292], [8899, 1.4520611763000488], [9520, 1.4536347389221191], [7158, 1.457543134689331]]","[[7200, 1.4053401947021484], [7362, 1.4301306009292603], [8922, 1.4339680671691895], [8652, 1.4426453113555908], [7590, 1.444905400276184], [8016, 1.4477195739746094], [7110, 1.4506148099899292], [8899, 1.4520611763000488], [9520, 1.4536347389221191], [7158, 1.457543134689331], [8831, 1.4576804637908936], [9023, 1.4580602645874023], [7352, 1.4601073265075684], [7211, 1.4618643522262573], [9681, 1.4621467590332031]]",8922
video7681,a group of people are riding on a raft in a body of water,"[[8079, 1.3686397075653076]]","[[8079, 1.3686397075653076], [7795, 1.38690984249115], [9342, 1.3969032764434814], [8493, 1.4266185760498047], [7681, 1.434952735900879]]","[[8079, 1.3686397075653076], [7795, 1.38690984249115], [9342, 1.3969032764434814], [8493, 1.4266185760498047], [7681, 1.434952735900879], [9576, 1.4423540830612183], [9830, 1.443871021270752], [9578, 1.4453868865966797], [9359, 1.4529893398284912], [8556, 1.4539332389831543]]","[[8079, 1.3686397075653076], [7795, 1.38690984249115], [9342, 1.3969032764434814], [8493, 1.4266185760498047], [7681, 1.434952735900879], [9576, 1.4423540830612183], [9830, 1.443871021270752], [9578, 1.4453868865966797], [9359, 1.4529893398284912], [8556, 1.4539332389831543], [8949, 1.45460844039917], [8335, 1.4557592868804932], [8928, 1.456524133682251], [9063, 1.4570198059082031], [7025, 1.4570448398590088]]",7681
video8938,a soldier is laying down,"[[9255, 1.4203853607177734]]","[[9255, 1.4203853607177734], [7757, 1.4321010112762451], [9235, 1.4604499340057373], [7543, 1.461672306060791], [8078, 1.4631035327911377]]","[[9255, 1.4203853607177734], [7757, 1.4321010112762451], [9235, 1.4604499340057373], [7543, 1.461672306060791], [8078, 1.4631035327911377], [7780, 1.4643681049346924], [7207, 1.4686741828918457], [7574, 1.4737555980682373], [7153, 1.4744564294815063], [8499, 1.474569320678711]]","[[9255, 1.4203853607177734], [7757, 1.4321010112762451], [9235, 1.4604499340057373], [7543, 1.461672306060791], [8078, 1.4631035327911377], [7780, 1.4643681049346924], [7207, 1.4686741828918457], [7574, 1.4737555980682373], [7153, 1.4744564294815063], [8499, 1.474569320678711], [8125, 1.4771281480789185], [8860, 1.4804368019104004], [7352, 1.4811683893203735], [7363, 1.4826905727386475], [9026, 1.4843909740447998]]",8938
video8936,some girls are practicing gymnastics,"[[8936, 1.3318029642105103]]","[[8936, 1.3318029642105103], [9771, 1.3854920864105225], [8267, 1.4160293340682983], [9685, 1.4359056949615479], [8264, 1.4460210800170898]]","[[8936, 1.3318029642105103], [9771, 1.3854920864105225], [8267, 1.4160293340682983], [9685, 1.4359056949615479], [8264, 1.4460210800170898], [8507, 1.4502475261688232], [7610, 1.4523062705993652], [7599, 1.4524191617965698], [8339, 1.4557275772094727], [9231, 1.4557693004608154]]","[[8936, 1.3318029642105103], [9771, 1.3854920864105225], [8267, 1.4160293340682983], [9685, 1.4359056949615479], [8264, 1.4460210800170898], [8507, 1.4502475261688232], [7610, 1.4523062705993652], [7599, 1.4524191617965698], [8339, 1.4557275772094727], [9231, 1.4557693004608154], [7113, 1.4558749198913574], [7207, 1.4560179710388184], [7155, 1.4570530652999878], [9657, 1.465725302696228], [8322, 1.4669249057769775]]",8936
video9323,a police officer drives his white car onto a grassy field and then back on to the street,"[[9800, 1.3597992658615112]]","[[9800, 1.3597992658615112], [9323, 1.363898515701294], [8089, 1.3901904821395874], [9622, 1.3935319185256958], [8125, 1.399714469909668]]","[[9800, 1.3597992658615112], [9323, 1.363898515701294], [8089, 1.3901904821395874], [9622, 1.3935319185256958], [8125, 1.399714469909668], [9511, 1.4129194021224976], [7765, 1.4172186851501465], [8497, 1.4233527183532715], [9535, 1.4242053031921387], [7616, 1.4246761798858643]]","[[9800, 1.3597992658615112], [9323, 1.363898515701294], [8089, 1.3901904821395874], [9622, 1.3935319185256958], [8125, 1.399714469909668], [9511, 1.4129194021224976], [7765, 1.4172186851501465], [8497, 1.4233527183532715], [9535, 1.4242053031921387], [7616, 1.4246761798858643], [9331, 1.4274215698242188], [8044, 1.4295204877853394], [7021, 1.4295473098754883], [8491, 1.4323480129241943], [8016, 1.4328562021255493]]",9323
video7570,a very young baby is wearing a disguise and laughing,"[[7570, 1.3403295278549194]]","[[7570, 1.3403295278549194], [8123, 1.4064507484436035], [8478, 1.4196945428848267], [9338, 1.4282257556915283], [7020, 1.43684720993042]]","[[7570, 1.3403295278549194], [8123, 1.4064507484436035], [8478, 1.4196945428848267], [9338, 1.4282257556915283], [7020, 1.43684720993042], [8672, 1.449042797088623], [8899, 1.4507806301116943], [9405, 1.4509787559509277], [7902, 1.4514671564102173], [9241, 1.4524297714233398]]","[[7570, 1.3403295278549194], [8123, 1.4064507484436035], [8478, 1.4196945428848267], [9338, 1.4282257556915283], [7020, 1.43684720993042], [8672, 1.449042797088623], [8899, 1.4507806301116943], [9405, 1.4509787559509277], [7902, 1.4514671564102173], [9241, 1.4524297714233398], [7592, 1.4540659189224243], [8815, 1.4546623229980469], [9871, 1.4559781551361084], [7977, 1.458280324935913], [7230, 1.4587781429290771]]",7570
video8681,a young man and his dad are rubbing each other s hair it s a commercial for vodafone,"[[8681, 1.3044681549072266]]","[[8681, 1.3044681549072266], [9521, 1.4172416925430298], [7844, 1.4227709770202637], [8318, 1.4251915216445923], [7365, 1.4268255233764648]]","[[8681, 1.3044681549072266], [9521, 1.4172416925430298], [7844, 1.4227709770202637], [8318, 1.4251915216445923], [7365, 1.4268255233764648], [8606, 1.427121877670288], [9603, 1.4348034858703613], [9697, 1.4353443384170532], [8326, 1.4387277364730835], [9326, 1.4424748420715332]]","[[8681, 1.3044681549072266], [9521, 1.4172416925430298], [7844, 1.4227709770202637], [8318, 1.4251915216445923], [7365, 1.4268255233764648], [8606, 1.427121877670288], [9603, 1.4348034858703613], [9697, 1.4353443384170532], [8326, 1.4387277364730835], [9326, 1.4424748420715332], [8304, 1.4446855783462524], [7169, 1.4489161968231201], [7968, 1.452467918395996], [9234, 1.4550323486328125], [7171, 1.4570653438568115]]",8681
video8306,tourists walking around the mount fuji visitor center,"[[8306, 1.3247385025024414]]","[[8306, 1.3247385025024414], [9131, 1.4848601818084717], [7837, 1.5335440635681152], [7212, 1.56671142578125], [8129, 1.585883378982544]]","[[8306, 1.3247385025024414], [9131, 1.4848601818084717], [7837, 1.5335440635681152], [7212, 1.56671142578125], [8129, 1.585883378982544], [7732, 1.5909844636917114], [9253, 1.591475248336792], [8806, 1.5926012992858887], [8688, 1.5970467329025269], [9682, 1.5997755527496338]]","[[8306, 1.3247385025024414], [9131, 1.4848601818084717], [7837, 1.5335440635681152], [7212, 1.56671142578125], [8129, 1.585883378982544], [7732, 1.5909844636917114], [9253, 1.591475248336792], [8806, 1.5926012992858887], [8688, 1.5970467329025269], [9682, 1.5997755527496338], [8786, 1.6010710000991821], [8831, 1.6031897068023682], [9405, 1.605588436126709], [9244, 1.6065574884414673], [8741, 1.6067217588424683]]",8306
video8671,a man is yelling on the phone,"[[8945, 1.3895435333251953]]","[[8945, 1.3895435333251953], [7211, 1.4042338132858276], [9404, 1.414975881576538], [9829, 1.4155726432800293], [9021, 1.4181327819824219]]","[[8945, 1.3895435333251953], [7211, 1.4042338132858276], [9404, 1.414975881576538], [9829, 1.4155726432800293], [9021, 1.4181327819824219], [7029, 1.4248883724212646], [9871, 1.4296131134033203], [8346, 1.429886817932129], [7110, 1.43653404712677], [8061, 1.4379396438598633]]","[[8945, 1.3895435333251953], [7211, 1.4042338132858276], [9404, 1.414975881576538], [9829, 1.4155726432800293], [9021, 1.4181327819824219], [7029, 1.4248883724212646], [9871, 1.4296131134033203], [8346, 1.429886817932129], [7110, 1.43653404712677], [8061, 1.4379396438598633], [8125, 1.4381377696990967], [7176, 1.438375473022461], [8416, 1.4390572309494019], [7732, 1.440152883529663], [8420, 1.4409493207931519]]",8671
video9406,a person giving his opinion on how crowded the world is,"[[9821, 1.4254759550094604]]","[[9821, 1.4254759550094604], [8346, 1.4380834102630615], [8945, 1.4395253658294678], [7116, 1.4411680698394775], [7375, 1.4492911100387573]]","[[9821, 1.4254759550094604], [8346, 1.4380834102630615], [8945, 1.4395253658294678], [7116, 1.4411680698394775], [7375, 1.4492911100387573], [9404, 1.4493000507354736], [8796, 1.4545375108718872], [7354, 1.4572193622589111], [8831, 1.4606457948684692], [9350, 1.4614629745483398]]","[[9821, 1.4254759550094604], [8346, 1.4380834102630615], [8945, 1.4395253658294678], [7116, 1.4411680698394775], [7375, 1.4492911100387573], [9404, 1.4493000507354736], [8796, 1.4545375108718872], [7354, 1.4572193622589111], [8831, 1.4606457948684692], [9350, 1.4614629745483398], [8416, 1.4641656875610352], [9831, 1.4651962518692017], [9028, 1.4676666259765625], [9405, 1.4705713987350464], [9600, 1.4709892272949219]]",9406
video8069,an astronaut is looking at a flag,"[[9236, 1.4286088943481445]]","[[9236, 1.4286088943481445], [9609, 1.4307366609573364], [7027, 1.4459868669509888], [7732, 1.4548439979553223], [7562, 1.4609501361846924]]","[[9236, 1.4286088943481445], [9609, 1.4307366609573364], [7027, 1.4459868669509888], [7732, 1.4548439979553223], [7562, 1.4609501361846924], [9249, 1.4616714715957642], [7793, 1.4623661041259766], [9620, 1.4642783403396606], [8069, 1.46781587600708], [9301, 1.4722158908843994]]","[[9236, 1.4286088943481445], [9609, 1.4307366609573364], [7027, 1.4459868669509888], [7732, 1.4548439979553223], [7562, 1.4609501361846924], [9249, 1.4616714715957642], [7793, 1.4623661041259766], [9620, 1.4642783403396606], [8069, 1.46781587600708], [9301, 1.4722158908843994], [7178, 1.4748780727386475], [8346, 1.4749526977539062], [9807, 1.475643515586853], [8688, 1.477564811706543], [7110, 1.4785618782043457]]",8069
video7414,a female in a space age outfit crawling and dancing on the floor,"[[7414, 1.305187463760376]]","[[7414, 1.305187463760376], [9609, 1.4176499843597412], [7178, 1.441782832145691], [7135, 1.4464393854141235], [8010, 1.451197862625122]]","[[7414, 1.305187463760376], [9609, 1.4176499843597412], [7178, 1.441782832145691], [7135, 1.4464393854141235], [8010, 1.451197862625122], [9063, 1.4591646194458008], [8073, 1.4614146947860718], [7027, 1.4637541770935059], [8069, 1.4649546146392822], [7558, 1.4649585485458374]]","[[7414, 1.305187463760376], [9609, 1.4176499843597412], [7178, 1.441782832145691], [7135, 1.4464393854141235], [8010, 1.451197862625122], [9063, 1.4591646194458008], [8073, 1.4614146947860718], [7027, 1.4637541770935059], [8069, 1.4649546146392822], [7558, 1.4649585485458374], [8110, 1.4687292575836182], [9685, 1.4690728187561035], [9231, 1.4698623418807983], [9827, 1.474581003189087], [8027, 1.476813793182373]]",7414
video7174,a man rides a lft to the top of a mountain,"[[7564, 1.3607957363128662]]","[[7564, 1.3607957363128662], [9511, 1.3678200244903564], [9581, 1.3962143659591675], [7174, 1.3997489213943481], [8450, 1.4018712043762207]]","[[7564, 1.3607957363128662], [9511, 1.3678200244903564], [9581, 1.3962143659591675], [7174, 1.3997489213943481], [8450, 1.4018712043762207], [9773, 1.4038344621658325], [9535, 1.4125654697418213], [9577, 1.415863275527954], [9806, 1.4174778461456299], [7854, 1.4202861785888672]]","[[7564, 1.3607957363128662], [9511, 1.3678200244903564], [9581, 1.3962143659591675], [7174, 1.3997489213943481], [8450, 1.4018712043762207], [9773, 1.4038344621658325], [9535, 1.4125654697418213], [9577, 1.415863275527954], [9806, 1.4174778461456299], [7854, 1.4202861785888672], [8820, 1.4236547946929932], [8306, 1.430330514907837], [9246, 1.4308843612670898], [8125, 1.431009292602539], [7649, 1.43484628200531]]",7174
video9755,advertisement of seat basket,"[[8258, 1.3952412605285645]]","[[8258, 1.3952412605285645], [9755, 1.4003136157989502], [8018, 1.4109752178192139], [8317, 1.4112743139266968], [8123, 1.4237134456634521]]","[[8258, 1.3952412605285645], [9755, 1.4003136157989502], [8018, 1.4109752178192139], [8317, 1.4112743139266968], [8123, 1.4237134456634521], [9679, 1.4253849983215332], [7230, 1.43007230758667], [8681, 1.431175708770752], [7832, 1.4354721307754517], [8241, 1.4356589317321777]]","[[8258, 1.3952412605285645], [9755, 1.4003136157989502], [8018, 1.4109752178192139], [8317, 1.4112743139266968], [8123, 1.4237134456634521], [9679, 1.4253849983215332], [7230, 1.43007230758667], [8681, 1.431175708770752], [7832, 1.4354721307754517], [8241, 1.4356589317321777], [8804, 1.4391677379608154], [8118, 1.4426236152648926], [7823, 1.4577350616455078], [8480, 1.4594237804412842], [7217, 1.4597755670547485]]",9755
video9833,airport security figure explains requirements for transporting medicines,"[[9833, 1.4548957347869873]]","[[9833, 1.4548957347869873], [9032, 1.4643744230270386], [8247, 1.4705133438110352], [8022, 1.4855010509490967], [7491, 1.4855937957763672]]","[[9833, 1.4548957347869873], [9032, 1.4643744230270386], [8247, 1.4705133438110352], [8022, 1.4855010509490967], [7491, 1.4855937957763672], [8499, 1.4871060848236084], [8804, 1.489701747894287], [9781, 1.4925730228424072], [8626, 1.4947060346603394], [7963, 1.496355652809143]]","[[9833, 1.4548957347869873], [9032, 1.4643744230270386], [8247, 1.4705133438110352], [8022, 1.4855010509490967], [7491, 1.4855937957763672], [8499, 1.4871060848236084], [8804, 1.489701747894287], [9781, 1.4925730228424072], [8626, 1.4947060346603394], [7963, 1.496355652809143], [8687, 1.4974316358566284], [7343, 1.4981324672698975], [7900, 1.49831223487854], [7947, 1.505637526512146], [7110, 1.5062824487686157]]",9833
video7172,the girl shows the boys her medal in this cartoon,"[[9777, 1.3706543445587158]]","[[9777, 1.3706543445587158], [7172, 1.3980135917663574], [8268, 1.4243327379226685], [8781, 1.4446007013320923], [7741, 1.453042984008789]]","[[9777, 1.3706543445587158], [7172, 1.3980135917663574], [8268, 1.4243327379226685], [8781, 1.4446007013320923], [7741, 1.453042984008789], [7701, 1.4581669569015503], [7912, 1.4590318202972412], [8676, 1.4600235223770142], [8863, 1.4629075527191162], [7365, 1.4638054370880127]]","[[9777, 1.3706543445587158], [7172, 1.3980135917663574], [8268, 1.4243327379226685], [8781, 1.4446007013320923], [7741, 1.453042984008789], [7701, 1.4581669569015503], [7912, 1.4590318202972412], [8676, 1.4600235223770142], [8863, 1.4629075527191162], [7365, 1.4638054370880127], [8341, 1.4769099950790405], [7747, 1.4797250032424927], [9814, 1.4801075458526611], [9014, 1.4822750091552734], [7179, 1.4828026294708252]]",7172
video7333,there are pictures and quotes from george bernard shaw and vincent van gogh while a voice over artist talks about making mistakes,"[[7333, 1.366477370262146]]","[[7333, 1.366477370262146], [7977, 1.4615081548690796], [8486, 1.4627537727355957], [8346, 1.4636095762252808], [8909, 1.4701275825500488]]","[[7333, 1.366477370262146], [7977, 1.4615081548690796], [8486, 1.4627537727355957], [8346, 1.4636095762252808], [8909, 1.4701275825500488], [9203, 1.4701365232467651], [9350, 1.47272527217865], [9026, 1.4731749296188354], [9251, 1.4821586608886719], [8072, 1.4853652715682983]]","[[7333, 1.366477370262146], [7977, 1.4615081548690796], [8486, 1.4627537727355957], [8346, 1.4636095762252808], [8909, 1.4701275825500488], [9203, 1.4701365232467651], [9350, 1.47272527217865], [9026, 1.4731749296188354], [9251, 1.4821586608886719], [8072, 1.4853652715682983], [7575, 1.4861271381378174], [9025, 1.4886856079101562], [9246, 1.4926893711090088], [8811, 1.4934971332550049], [8908, 1.4944144487380981]]",7333
video7356,a man is showing the foot well under the door jam area of the car,"[[7354, 1.4003713130950928]]","[[7354, 1.4003713130950928], [9514, 1.4169358015060425], [7343, 1.4184421300888062], [7588, 1.419311285018921], [7820, 1.424492359161377]]","[[7354, 1.4003713130950928], [9514, 1.4169358015060425], [7343, 1.4184421300888062], [7588, 1.419311285018921], [7820, 1.424492359161377], [7965, 1.4251554012298584], [8250, 1.428987979888916], [7116, 1.431138515472412], [7765, 1.4336177110671997], [7115, 1.4341058731079102]]","[[7354, 1.4003713130950928], [9514, 1.4169358015060425], [7343, 1.4184421300888062], [7588, 1.419311285018921], [7820, 1.424492359161377], [7965, 1.4251554012298584], [8250, 1.428987979888916], [7116, 1.431138515472412], [7765, 1.4336177110671997], [7115, 1.4341058731079102], [9975, 1.4344836473464966], [9238, 1.4350457191467285], [7356, 1.4382421970367432], [9038, 1.4390252828598022], [7351, 1.4424502849578857]]",7356
video9320,a blonde man lies on a bed with a little baby,"[[9320, 1.3766155242919922]]","[[9320, 1.3766155242919922], [8861, 1.4347761869430542], [7902, 1.4474806785583496], [7201, 1.4623527526855469], [9686, 1.4713554382324219]]","[[9320, 1.3766155242919922], [8861, 1.4347761869430542], [7902, 1.4474806785583496], [7201, 1.4623527526855469], [9686, 1.4713554382324219], [8340, 1.472368597984314], [8672, 1.477590799331665], [9825, 1.4784234762191772], [7034, 1.4792757034301758], [7590, 1.4822280406951904]]","[[9320, 1.3766155242919922], [8861, 1.4347761869430542], [7902, 1.4474806785583496], [7201, 1.4623527526855469], [9686, 1.4713554382324219], [8340, 1.472368597984314], [8672, 1.477590799331665], [9825, 1.4784234762191772], [7034, 1.4792757034301758], [7590, 1.4822280406951904], [8302, 1.4866633415222168], [9885, 1.4868993759155273], [8604, 1.4875364303588867], [8811, 1.48777437210083], [8866, 1.4881035089492798]]",9320
video9321,penguins wander around on ice,"[[9321, 1.3274917602539062]]","[[9321, 1.3274917602539062], [9253, 1.4490355253219604], [8493, 1.459110975265503], [7732, 1.476199984550476], [9359, 1.4796854257583618]]","[[9321, 1.3274917602539062], [9253, 1.4490355253219604], [8493, 1.459110975265503], [7732, 1.476199984550476], [9359, 1.4796854257583618], [8016, 1.4829331636428833], [8867, 1.4887079000473022], [9620, 1.494567632675171], [9063, 1.4993507862091064], [8815, 1.499508261680603]]","[[9321, 1.3274917602539062], [9253, 1.4490355253219604], [8493, 1.459110975265503], [7732, 1.476199984550476], [9359, 1.4796854257583618], [8016, 1.4829331636428833], [8867, 1.4887079000473022], [9620, 1.494567632675171], [9063, 1.4993507862091064], [8815, 1.499508261680603], [7793, 1.500267505645752], [9345, 1.5013980865478516], [8129, 1.5015387535095215], [7564, 1.5048797130584717], [8674, 1.5076336860656738]]",9321
