rel_video_id,query,top1,top5,top10,top15,ground_truth
video9356,someone is arranging utensilslarge saucepan and spoons as a preparation to cook something,"[[9356, 1.4433350563049316]]","[[9356, 1.4433350563049316], [9625, 1.4460041522979736], [8654, 1.4481533765792847], [8300, 1.468334436416626], [9335, 1.4815303087234497]]","[[9356, 1.4433350563049316], [9625, 1.4460041522979736], [8654, 1.4481533765792847], [8300, 1.468334436416626], [9335, 1.4815303087234497], [8514, 1.4889369010925293], [7360, 1.4926178455352783], [8656, 1.5027375221252441], [9836, 1.5041937828063965], [7911, 1.5043044090270996]]","[[9356, 1.4433350563049316], [9625, 1.4460041522979736], [8654, 1.4481533765792847], [8300, 1.468334436416626], [9335, 1.4815303087234497], [8514, 1.4889369010925293], [7360, 1.4926178455352783], [8656, 1.5027375221252441], [9836, 1.5041937828063965], [7911, 1.5043044090270996], [9639, 1.5089356899261475], [9689, 1.5120022296905518], [7376, 1.518690824508667], [9022, 1.5225958824157715], [7148, 1.5283281803131104]]",9356
video7153,there is a wrestling match going on between two people,"[[8823, 1.445080280303955]]","[[8823, 1.445080280303955], [8443, 1.4478473663330078], [8470, 1.4499996900558472], [7788, 1.4521723985671997], [8309, 1.4578001499176025]]","[[8823, 1.445080280303955], [8443, 1.4478473663330078], [8470, 1.4499996900558472], [7788, 1.4521723985671997], [8309, 1.4578001499176025], [7587, 1.4596328735351562], [8440, 1.4640254974365234], [9803, 1.464608907699585], [7153, 1.4897395372390747], [8262, 1.4950315952301025]]","[[8823, 1.445080280303955], [8443, 1.4478473663330078], [8470, 1.4499996900558472], [7788, 1.4521723985671997], [8309, 1.4578001499176025], [7587, 1.4596328735351562], [8440, 1.4640254974365234], [9803, 1.464608907699585], [7153, 1.4897395372390747], [8262, 1.4950315952301025], [8310, 1.5007712841033936], [7979, 1.5273137092590332], [7211, 1.5343942642211914], [9020, 1.554901123046875], [8013, 1.5597431659698486]]",7153
video9750,a man points his gun towards a woman in a room,"[[9750, 1.4258172512054443]]","[[9750, 1.4258172512054443], [9784, 1.4391124248504639], [9919, 1.4746909141540527], [7436, 1.4832282066345215], [8392, 1.5001424551010132]]","[[9750, 1.4258172512054443], [9784, 1.4391124248504639], [9919, 1.4746909141540527], [7436, 1.4832282066345215], [8392, 1.5001424551010132], [9322, 1.503931999206543], [9237, 1.5060559511184692], [8012, 1.5124070644378662], [8808, 1.5160853862762451], [8304, 1.523110032081604]]","[[9750, 1.4258172512054443], [9784, 1.4391124248504639], [9919, 1.4746909141540527], [7436, 1.4832282066345215], [8392, 1.5001424551010132], [9322, 1.503931999206543], [9237, 1.5060559511184692], [8012, 1.5124070644378662], [8808, 1.5160853862762451], [8304, 1.523110032081604], [7114, 1.5310611724853516], [8650, 1.5335052013397217], [8907, 1.5353667736053467], [7576, 1.5431492328643799], [8807, 1.5434166193008423]]",9750
video8818,several young girls are singing on stage,"[[7791, 1.4365036487579346]]","[[7791, 1.4365036487579346], [7756, 1.452275037765503], [8818, 1.4610679149627686], [7220, 1.4882608652114868], [8447, 1.4889235496520996]]","[[7791, 1.4365036487579346], [7756, 1.452275037765503], [8818, 1.4610679149627686], [7220, 1.4882608652114868], [8447, 1.4889235496520996], [8810, 1.5002329349517822], [7569, 1.5010833740234375], [9303, 1.5037561655044556], [9027, 1.5038667917251587], [7772, 1.5071766376495361]]","[[7791, 1.4365036487579346], [7756, 1.452275037765503], [8818, 1.4610679149627686], [7220, 1.4882608652114868], [8447, 1.4889235496520996], [8810, 1.5002329349517822], [7569, 1.5010833740234375], [9303, 1.5037561655044556], [9027, 1.5038667917251587], [7772, 1.5071766376495361], [9879, 1.5098814964294434], [9202, 1.5100479125976562], [9304, 1.5131676197052002], [9589, 1.5342576503753662], [8914, 1.5355733633041382]]",8818
video8057,a women preparing a duck to roast,"[[8057, 1.3828134536743164]]","[[8057, 1.3828134536743164], [8479, 1.4857075214385986], [9693, 1.5213000774383545], [8915, 1.5355404615402222], [7939, 1.5730080604553223]]","[[8057, 1.3828134536743164], [8479, 1.4857075214385986], [9693, 1.5213000774383545], [8915, 1.5355404615402222], [7939, 1.5730080604553223], [9687, 1.5758179426193237], [9337, 1.57840895652771], [9347, 1.583325743675232], [8300, 1.5851140022277832], [7154, 1.5857460498809814]]","[[8057, 1.3828134536743164], [8479, 1.4857075214385986], [9693, 1.5213000774383545], [8915, 1.5355404615402222], [7939, 1.5730080604553223], [9687, 1.5758179426193237], [9337, 1.57840895652771], [9347, 1.583325743675232], [8300, 1.5851140022277832], [7154, 1.5857460498809814], [9798, 1.5875365734100342], [9684, 1.59002685546875], [7695, 1.595099925994873], [8836, 1.6016168594360352], [9322, 1.6053014993667603]]",8057
video9693,the chef adds fish sauce and fish paste to a large stainless steel cooking pot,"[[8300, 1.4576350450515747]]","[[8300, 1.4576350450515747], [8654, 1.4610354900360107], [9689, 1.4835205078125], [8835, 1.49045991897583], [8656, 1.503875732421875]]","[[8300, 1.4576350450515747], [8654, 1.4610354900360107], [9689, 1.4835205078125], [8835, 1.49045991897583], [8656, 1.503875732421875], [9625, 1.5046935081481934], [9335, 1.5130937099456787], [7911, 1.522830843925476], [8489, 1.5305461883544922], [9639, 1.531184196472168]]","[[8300, 1.4576350450515747], [8654, 1.4610354900360107], [9689, 1.4835205078125], [8835, 1.49045991897583], [8656, 1.503875732421875], [9625, 1.5046935081481934], [9335, 1.5130937099456787], [7911, 1.522830843925476], [8489, 1.5305461883544922], [9639, 1.531184196472168], [8751, 1.5316104888916016], [7415, 1.5325396060943604], [8834, 1.532596230506897], [7148, 1.5342633724212646], [7744, 1.535651445388794]]",9693
video9036,young children in red fire chief hats are guided to a fire engine and up its metal textured stairs,"[[9036, 1.279310703277588]]","[[9036, 1.279310703277588], [8815, 1.4523454904556274], [8306, 1.5675493478775024], [8073, 1.5760293006896973], [7698, 1.577530860900879]]","[[9036, 1.279310703277588], [8815, 1.4523454904556274], [8306, 1.5675493478775024], [8073, 1.5760293006896973], [7698, 1.577530860900879], [8816, 1.587741732597351], [8920, 1.5996085405349731], [9695, 1.602526307106018], [9745, 1.6030511856079102], [7542, 1.6045966148376465]]","[[9036, 1.279310703277588], [8815, 1.4523454904556274], [8306, 1.5675493478775024], [8073, 1.5760293006896973], [7698, 1.577530860900879], [8816, 1.587741732597351], [8920, 1.5996085405349731], [9695, 1.602526307106018], [9745, 1.6030511856079102], [7542, 1.6045966148376465], [8556, 1.6074689626693726], [9405, 1.6076298952102661], [7822, 1.6087377071380615], [8118, 1.6108888387680054], [8241, 1.6135083436965942]]",9036
video9815,a mashup of music videos is being played,"[[7411, 1.4526121616363525]]","[[7411, 1.4526121616363525], [9815, 1.4837450981140137], [8485, 1.4867805242538452], [7135, 1.4888885021209717], [8978, 1.4939991235733032]]","[[7411, 1.4526121616363525], [9815, 1.4837450981140137], [8485, 1.4867805242538452], [7135, 1.4888885021209717], [8978, 1.4939991235733032], [8490, 1.4991800785064697], [7367, 1.5011961460113525], [7917, 1.503979206085205], [7205, 1.5042197704315186], [9489, 1.5054566860198975]]","[[7411, 1.4526121616363525], [9815, 1.4837450981140137], [8485, 1.4867805242538452], [7135, 1.4888885021209717], [8978, 1.4939991235733032], [8490, 1.4991800785064697], [7367, 1.5011961460113525], [7917, 1.503979206085205], [7205, 1.5042197704315186], [9489, 1.5054566860198975], [7767, 1.507474660873413], [7528, 1.5136363506317139], [7028, 1.5138365030288696], [7117, 1.5161340236663818], [8481, 1.5162184238433838]]",9815
video8664,customers wait in line at an ice cream shop while employees tend to them,"[[8664, 1.4019460678100586]]","[[8664, 1.4019460678100586], [9337, 1.4969749450683594], [8129, 1.5218899250030518], [9131, 1.5255763530731201], [9028, 1.525870680809021]]","[[8664, 1.4019460678100586], [9337, 1.4969749450683594], [8129, 1.5218899250030518], [9131, 1.5255763530731201], [9028, 1.525870680809021], [9833, 1.5336735248565674], [7698, 1.538629412651062], [8831, 1.5490275621414185], [8022, 1.5507761240005493], [7365, 1.5596877336502075]]","[[8664, 1.4019460678100586], [9337, 1.4969749450683594], [8129, 1.5218899250030518], [9131, 1.5255763530731201], [9028, 1.525870680809021], [9833, 1.5336735248565674], [7698, 1.538629412651062], [8831, 1.5490275621414185], [8022, 1.5507761240005493], [7365, 1.5596877336502075], [8899, 1.5691418647766113], [8337, 1.5697147846221924], [8302, 1.5775976181030273], [9752, 1.5834290981292725], [8314, 1.5888859033584595]]",8664
video7376,broth is being added to a soup pot and stirred with a rubber spatula,"[[8654, 1.4149339199066162]]","[[8654, 1.4149339199066162], [8656, 1.4406688213348389], [8300, 1.4508061408996582], [7376, 1.4660147428512573], [7911, 1.470491647720337]]","[[8654, 1.4149339199066162], [8656, 1.4406688213348389], [8300, 1.4508061408996582], [7376, 1.4660147428512573], [7911, 1.470491647720337], [9022, 1.4841285943984985], [9689, 1.498979926109314], [8835, 1.505126953125], [8514, 1.5116469860076904], [9625, 1.5157713890075684]]","[[8654, 1.4149339199066162], [8656, 1.4406688213348389], [8300, 1.4508061408996582], [7376, 1.4660147428512573], [7911, 1.470491647720337], [9022, 1.4841285943984985], [9689, 1.498979926109314], [8835, 1.505126953125], [8514, 1.5116469860076904], [9625, 1.5157713890075684], [7826, 1.525968313217163], [7695, 1.528883457183838], [7148, 1.5310561656951904], [7785, 1.5369575023651123], [9693, 1.553185224533081]]",7376
video9639,women poring sauce to cooking vegetables,"[[9639, 1.4262511730194092]]","[[9639, 1.4262511730194092], [8514, 1.4574129581451416], [9689, 1.4622372388839722], [8300, 1.463158130645752], [9693, 1.4650648832321167]]","[[9639, 1.4262511730194092], [8514, 1.4574129581451416], [9689, 1.4622372388839722], [8300, 1.463158130645752], [9693, 1.4650648832321167], [7911, 1.4750604629516602], [8656, 1.4768744707107544], [8654, 1.4796888828277588], [8444, 1.4901701211929321], [9625, 1.4913697242736816]]","[[9639, 1.4262511730194092], [8514, 1.4574129581451416], [9689, 1.4622372388839722], [8300, 1.463158130645752], [9693, 1.4650648832321167], [7911, 1.4750604629516602], [8656, 1.4768744707107544], [8654, 1.4796888828277588], [8444, 1.4901701211929321], [9625, 1.4913697242736816], [7826, 1.4991097450256348], [7376, 1.5009206533432007], [7744, 1.506164312362671], [7695, 1.509175419807434], [9409, 1.5119355916976929]]",9639
video8494,a girl is talking about a celebrity,"[[9225, 1.438292145729065]]","[[9225, 1.438292145729065], [8453, 1.4749138355255127], [9037, 1.4778416156768799], [9503, 1.4814475774765015], [8254, 1.48329758644104]]","[[9225, 1.438292145729065], [8453, 1.4749138355255127], [9037, 1.4778416156768799], [9503, 1.4814475774765015], [8254, 1.48329758644104], [9791, 1.4865278005599976], [8481, 1.4940471649169922], [9205, 1.4946779012680054], [8783, 1.4952186346054077], [9329, 1.4963858127593994]]","[[9225, 1.438292145729065], [8453, 1.4749138355255127], [9037, 1.4778416156768799], [9503, 1.4814475774765015], [8254, 1.48329758644104], [9791, 1.4865278005599976], [8481, 1.4940471649169922], [9205, 1.4946779012680054], [8783, 1.4952186346054077], [9329, 1.4963858127593994], [8605, 1.5005474090576172], [7231, 1.5040850639343262], [9698, 1.513312816619873], [8752, 1.5136566162109375], [8669, 1.5147037506103516]]",8494
video9511,a person is riding red car on road,"[[9535, 1.445995569229126]]","[[9535, 1.445995569229126], [9691, 1.4573535919189453], [8973, 1.460207462310791], [9677, 1.4807595014572144], [7616, 1.4887545108795166]]","[[9535, 1.445995569229126], [9691, 1.4573535919189453], [8973, 1.460207462310791], [9677, 1.4807595014572144], [7616, 1.4887545108795166], [7026, 1.4902606010437012], [9511, 1.4953322410583496], [7204, 1.504098653793335], [8934, 1.5083715915679932], [9622, 1.511175513267517]]","[[9535, 1.445995569229126], [9691, 1.4573535919189453], [8973, 1.460207462310791], [9677, 1.4807595014572144], [7616, 1.4887545108795166], [7026, 1.4902606010437012], [9511, 1.4953322410583496], [7204, 1.504098653793335], [8934, 1.5083715915679932], [9622, 1.511175513267517], [9239, 1.5181608200073242], [7219, 1.5190372467041016], [8497, 1.5190720558166504], [7586, 1.5211018323898315], [8263, 1.5213038921356201]]",9511
video7563,a man is talking about appliances,"[[8456, 1.474083662033081]]","[[8456, 1.474083662033081], [7154, 1.4988811016082764], [7563, 1.5110986232757568], [9404, 1.5140372514724731], [7820, 1.5196164846420288]]","[[8456, 1.474083662033081], [7154, 1.4988811016082764], [7563, 1.5110986232757568], [9404, 1.5140372514724731], [7820, 1.5196164846420288], [7469, 1.5219143629074097], [7369, 1.5223548412322998], [7833, 1.523949146270752], [7768, 1.524968147277832], [8831, 1.5290940999984741]]","[[8456, 1.474083662033081], [7154, 1.4988811016082764], [7563, 1.5110986232757568], [9404, 1.5140372514724731], [7820, 1.5196164846420288], [7469, 1.5219143629074097], [7369, 1.5223548412322998], [7833, 1.523949146270752], [7768, 1.524968147277832], [8831, 1.5290940999984741], [9901, 1.5343635082244873], [8830, 1.5385687351226807], [7828, 1.540004014968872], [8682, 1.5409787893295288], [8492, 1.5411643981933594]]",7563
video9879,the young performer impressed his audience,"[[7733, 1.434302806854248]]","[[7733, 1.434302806854248], [9778, 1.439180850982666], [9222, 1.4763226509094238], [8919, 1.4855616092681885], [8814, 1.4895594120025635]]","[[7733, 1.434302806854248], [9778, 1.439180850982666], [9222, 1.4763226509094238], [8919, 1.4855616092681885], [8814, 1.4895594120025635], [7558, 1.493800401687622], [9202, 1.4982852935791016], [8792, 1.4996927976608276], [9352, 1.501915454864502], [9303, 1.5034101009368896]]","[[7733, 1.434302806854248], [9778, 1.439180850982666], [9222, 1.4763226509094238], [8919, 1.4855616092681885], [8814, 1.4895594120025635], [7558, 1.493800401687622], [9202, 1.4982852935791016], [8792, 1.4996927976608276], [9352, 1.501915454864502], [9303, 1.5034101009368896], [8265, 1.5064648389816284], [8556, 1.5067185163497925], [7141, 1.510338306427002], [7351, 1.5116666555404663], [9683, 1.5154304504394531]]",9879
video9222,a boy is trying out for a part on the voice kids,"[[7733, 1.4460091590881348]]","[[7733, 1.4460091590881348], [9778, 1.4739105701446533], [8265, 1.4812365770339966], [9222, 1.4862574338912964], [9202, 1.4971630573272705]]","[[7733, 1.4460091590881348], [9778, 1.4739105701446533], [8265, 1.4812365770339966], [9222, 1.4862574338912964], [9202, 1.4971630573272705], [8814, 1.5056382417678833], [9303, 1.5069901943206787], [9879, 1.5256353616714478], [8810, 1.5285272598266602], [8447, 1.5323643684387207]]","[[7733, 1.4460091590881348], [9778, 1.4739105701446533], [8265, 1.4812365770339966], [9222, 1.4862574338912964], [9202, 1.4971630573272705], [8814, 1.5056382417678833], [9303, 1.5069901943206787], [9879, 1.5256353616714478], [8810, 1.5285272598266602], [8447, 1.5323643684387207], [9351, 1.5332202911376953], [9304, 1.5368542671203613], [8792, 1.5400476455688477], [8318, 1.5443692207336426], [7414, 1.54544198513031]]",9222
video9548,a reporter asks questions at a gun range,"[[9548, 1.4052777290344238]]","[[9548, 1.4052777290344238], [8822, 1.4599614143371582], [9204, 1.491033673286438], [9235, 1.4945626258850098], [8864, 1.5286152362823486]]","[[9548, 1.4052777290344238], [8822, 1.4599614143371582], [9204, 1.491033673286438], [9235, 1.4945626258850098], [8864, 1.5286152362823486], [9784, 1.5453742742538452], [8780, 1.5555198192596436], [8499, 1.5572164058685303], [8650, 1.5685354471206665], [7119, 1.5785958766937256]]","[[9548, 1.4052777290344238], [8822, 1.4599614143371582], [9204, 1.491033673286438], [9235, 1.4945626258850098], [8864, 1.5286152362823486], [9784, 1.5453742742538452], [8780, 1.5555198192596436], [8499, 1.5572164058685303], [8650, 1.5685354471206665], [7119, 1.5785958766937256], [8721, 1.5880088806152344], [7613, 1.5931642055511475], [7576, 1.6000993251800537], [8494, 1.600308895111084], [8254, 1.6004633903503418]]",9548
video8349,friends enjoy eating,"[[9327, 1.4249656200408936]]","[[9327, 1.4249656200408936], [9539, 1.4545520544052124], [8349, 1.4725570678710938], [8302, 1.4927020072937012], [8048, 1.4971927404403687]]","[[9327, 1.4249656200408936], [9539, 1.4545520544052124], [8349, 1.4725570678710938], [8302, 1.4927020072937012], [8048, 1.4971927404403687], [9229, 1.5088136196136475], [8606, 1.5094255208969116], [9340, 1.5196990966796875], [8604, 1.521871566772461], [7370, 1.523162841796875]]","[[9327, 1.4249656200408936], [9539, 1.4545520544052124], [8349, 1.4725570678710938], [8302, 1.4927020072937012], [8048, 1.4971927404403687], [9229, 1.5088136196136475], [8606, 1.5094255208969116], [9340, 1.5196990966796875], [8604, 1.521871566772461], [7370, 1.523162841796875], [7559, 1.5263233184814453], [8304, 1.5339405536651611], [7175, 1.535650372505188], [7726, 1.5370064973831177], [9579, 1.5437848567962646]]",8349
video8903,there are crocodiles about to eat the group of people walking across the water,"[[8118, 1.5368763208389282]]","[[8118, 1.5368763208389282], [7355, 1.5561050176620483], [9345, 1.5604174137115479], [8851, 1.561085820198059], [8079, 1.5617340803146362]]","[[8118, 1.5368763208389282], [7355, 1.5561050176620483], [9345, 1.5604174137115479], [8851, 1.561085820198059], [8079, 1.5617340803146362], [7218, 1.5753774642944336], [8071, 1.5787959098815918], [8903, 1.578845500946045], [8493, 1.5825583934783936], [9772, 1.5849215984344482]]","[[8118, 1.5368763208389282], [7355, 1.5561050176620483], [9345, 1.5604174137115479], [8851, 1.561085820198059], [8079, 1.5617340803146362], [7218, 1.5753774642944336], [8071, 1.5787959098815918], [8903, 1.578845500946045], [8493, 1.5825583934783936], [9772, 1.5849215984344482], [7974, 1.5882580280303955], [9909, 1.5889637470245361], [8307, 1.5923593044281006], [9208, 1.5953577756881714], [7444, 1.596524953842163]]",8903
video8915,person cooking up somefood,"[[8656, 1.4837273359298706]]","[[8656, 1.4837273359298706], [8056, 1.4929465055465698], [7695, 1.4959169626235962], [9333, 1.4976882934570312], [8654, 1.498953104019165]]","[[8656, 1.4837273359298706], [8056, 1.4929465055465698], [7695, 1.4959169626235962], [9333, 1.4976882934570312], [8654, 1.498953104019165], [7148, 1.4995955228805542], [9693, 1.5007520914077759], [9694, 1.5011372566223145], [7165, 1.5018280744552612], [9335, 1.502194881439209]]","[[8656, 1.4837273359298706], [8056, 1.4929465055465698], [7695, 1.4959169626235962], [9333, 1.4976882934570312], [8654, 1.498953104019165], [7148, 1.4995955228805542], [9693, 1.5007520914077759], [9694, 1.5011372566223145], [7165, 1.5018280744552612], [9335, 1.502194881439209], [7911, 1.5056850910186768], [7376, 1.5075525045394897], [8483, 1.5078797340393066], [8479, 1.5098859071731567], [9836, 1.5123006105422974]]",8915
video9677,a guy wearing a red shirt drives a car while talking,"[[9677, 1.3536670207977295]]","[[9677, 1.3536670207977295], [9535, 1.48150634765625], [9021, 1.4874908924102783], [9691, 1.488476276397705], [7026, 1.490570068359375]]","[[9677, 1.3536670207977295], [9535, 1.48150634765625], [9021, 1.4874908924102783], [9691, 1.488476276397705], [7026, 1.490570068359375], [8973, 1.524623990058899], [8263, 1.524735927581787], [7844, 1.5248130559921265], [9331, 1.5253782272338867], [7469, 1.527367115020752]]","[[9677, 1.3536670207977295], [9535, 1.48150634765625], [9021, 1.4874908924102783], [9691, 1.488476276397705], [7026, 1.490570068359375], [8973, 1.524623990058899], [8263, 1.524735927581787], [7844, 1.5248130559921265], [9331, 1.5253782272338867], [7469, 1.527367115020752], [7969, 1.5356922149658203], [8089, 1.5359609127044678], [9511, 1.5377174615859985], [7597, 1.5409705638885498], [7340, 1.5421491861343384]]",9677
video7701,cartoon cars smiling talking and driving down a city road,"[[7701, 1.4328312873840332]]","[[7701, 1.4328312873840332], [8973, 1.459248423576355], [8468, 1.475114345550537], [9355, 1.4844505786895752], [9826, 1.492624282836914]]","[[7701, 1.4328312873840332], [8973, 1.459248423576355], [8468, 1.475114345550537], [9355, 1.4844505786895752], [9826, 1.492624282836914], [7506, 1.5146286487579346], [8781, 1.5234074592590332], [8446, 1.5339090824127197], [7835, 1.5352410078048706], [7218, 1.5388226509094238]]","[[7701, 1.4328312873840332], [8973, 1.459248423576355], [8468, 1.475114345550537], [9355, 1.4844505786895752], [9826, 1.492624282836914], [7506, 1.5146286487579346], [8781, 1.5234074592590332], [8446, 1.5339090824127197], [7835, 1.5352410078048706], [7218, 1.5388226509094238], [9808, 1.5391638278961182], [9773, 1.5398035049438477], [7365, 1.540388584136963], [7464, 1.5454065799713135], [7912, 1.545991063117981]]",7701
video7767,a slideshow with captions,"[[7767, 1.4252598285675049]]","[[7767, 1.4252598285675049], [8490, 1.4755192995071411], [9695, 1.506093978881836], [7548, 1.5115255117416382], [7830, 1.5166049003601074]]","[[7767, 1.4252598285675049], [8490, 1.4755192995071411], [9695, 1.506093978881836], [7548, 1.5115255117416382], [7830, 1.5166049003601074], [7581, 1.5169131755828857], [8866, 1.5169482231140137], [9339, 1.5206538438796997], [7562, 1.52207612991333], [9829, 1.52242112159729]]","[[7767, 1.4252598285675049], [8490, 1.4755192995071411], [9695, 1.506093978881836], [7548, 1.5115255117416382], [7830, 1.5166049003601074], [7581, 1.5169131755828857], [8866, 1.5169482231140137], [9339, 1.5206538438796997], [7562, 1.52207612991333], [9829, 1.52242112159729], [8260, 1.5261428356170654], [7150, 1.5266857147216797], [9828, 1.5315154790878296], [8123, 1.5328465700149536], [8811, 1.5395221710205078]]",7767
video7785,person lighting a kettle,"[[8656, 1.449628233909607]]","[[8656, 1.449628233909607], [7154, 1.5150752067565918], [9693, 1.5271258354187012], [7785, 1.5306106805801392], [9836, 1.540457844734192]]","[[8656, 1.449628233909607], [7154, 1.5150752067565918], [9693, 1.5271258354187012], [7785, 1.5306106805801392], [9836, 1.540457844734192], [7148, 1.5469295978546143], [8654, 1.551997184753418], [9322, 1.5559180974960327], [7732, 1.557035207748413], [7911, 1.558614730834961]]","[[8656, 1.449628233909607], [7154, 1.5150752067565918], [9693, 1.5271258354187012], [7785, 1.5306106805801392], [9836, 1.540457844734192], [7148, 1.5469295978546143], [8654, 1.551997184753418], [9322, 1.5559180974960327], [7732, 1.557035207748413], [7911, 1.558614730834961], [7376, 1.562369465827942], [8514, 1.5668003559112549], [7237, 1.568516492843628], [9404, 1.5707165002822876], [9036, 1.5746092796325684]]",7785
video9232,a video game woman character runs down a hill followed by a dog running down the hill they both then run up the hill together,"[[9232, 1.4387528896331787]]","[[9232, 1.4387528896331787], [7798, 1.5169861316680908], [8027, 1.5410188436508179], [9832, 1.5411173105239868], [9795, 1.5538702011108398]]","[[9232, 1.4387528896331787], [7798, 1.5169861316680908], [8027, 1.5410188436508179], [9832, 1.5411173105239868], [9795, 1.5538702011108398], [7723, 1.554598093032837], [8256, 1.555419921875], [8931, 1.559699296951294], [8313, 1.5657265186309814], [9031, 1.5703712701797485]]","[[9232, 1.4387528896331787], [7798, 1.5169861316680908], [8027, 1.5410188436508179], [9832, 1.5411173105239868], [9795, 1.5538702011108398], [7723, 1.554598093032837], [8256, 1.555419921875], [8931, 1.559699296951294], [8313, 1.5657265186309814], [9031, 1.5703712701797485], [9208, 1.5707825422286987], [9200, 1.576174020767212], [9324, 1.5796228647232056], [9224, 1.5807455778121948], [9580, 1.580884575843811]]",9232
video7150,a picture of the batsman is shown and he is ready for the batting and the audience are watching the show,"[[7150, 1.4398746490478516]]","[[7150, 1.4398746490478516], [7556, 1.4822065830230713], [9745, 1.5022956132888794], [7686, 1.514632225036621], [7021, 1.5304282903671265]]","[[7150, 1.4398746490478516], [7556, 1.4822065830230713], [9745, 1.5022956132888794], [7686, 1.514632225036621], [7021, 1.5304282903671265], [8013, 1.5361658334732056], [8308, 1.544616937637329], [7822, 1.5473819971084595], [7444, 1.5545369386672974], [7368, 1.562056541442871]]","[[7150, 1.4398746490478516], [7556, 1.4822065830230713], [9745, 1.5022956132888794], [7686, 1.514632225036621], [7021, 1.5304282903671265], [8013, 1.5361658334732056], [8308, 1.544616937637329], [7822, 1.5473819971084595], [7444, 1.5545369386672974], [7368, 1.562056541442871], [7754, 1.5642595291137695], [8111, 1.5654118061065674], [8913, 1.5673398971557617], [8346, 1.5700011253356934], [9305, 1.571506142616272]]",7150
video7794,a famous tv talk show,"[[8932, 1.449847936630249]]","[[8932, 1.449847936630249], [8917, 1.452385425567627], [7349, 1.4535608291625977], [7794, 1.461578130722046], [8120, 1.466122031211853]]","[[8932, 1.449847936630249], [8917, 1.452385425567627], [7349, 1.4535608291625977], [7794, 1.461578130722046], [8120, 1.466122031211853], [7159, 1.4698538780212402], [7754, 1.4749140739440918], [7753, 1.4769970178604126], [8824, 1.479393720626831], [8930, 1.4806716442108154]]","[[8932, 1.449847936630249], [8917, 1.452385425567627], [7349, 1.4535608291625977], [7794, 1.461578130722046], [8120, 1.466122031211853], [7159, 1.4698538780212402], [7754, 1.4749140739440918], [7753, 1.4769970178604126], [8824, 1.479393720626831], [8930, 1.4806716442108154], [8813, 1.481713056564331], [7234, 1.4854615926742554], [9352, 1.4862706661224365], [9791, 1.4946268796920776], [9037, 1.4960401058197021]]",7794
video9803,two guys wrestling at an event,"[[8823, 1.4291038513183594]]","[[8823, 1.4291038513183594], [8470, 1.4355391263961792], [7788, 1.4414464235305786], [7587, 1.4419257640838623], [9803, 1.4472261667251587]]","[[8823, 1.4291038513183594], [8470, 1.4355391263961792], [7788, 1.4414464235305786], [7587, 1.4419257640838623], [9803, 1.4472261667251587], [8309, 1.4483716487884521], [8443, 1.4520070552825928], [8262, 1.4596433639526367], [8440, 1.4665929079055786], [7153, 1.4827816486358643]]","[[8823, 1.4291038513183594], [8470, 1.4355391263961792], [7788, 1.4414464235305786], [7587, 1.4419257640838623], [9803, 1.4472261667251587], [8309, 1.4483716487884521], [8443, 1.4520070552825928], [8262, 1.4596433639526367], [8440, 1.4665929079055786], [7153, 1.4827816486358643], [8310, 1.507927656173706], [9020, 1.525166392326355], [7979, 1.5333789587020874], [7211, 1.5441818237304688], [8316, 1.5823642015457153]]",9803
video9694,a guy barbequeing potatoes,"[[9694, 1.2467817068099976]]","[[9694, 1.2467817068099976], [9333, 1.2771892547607422], [7147, 1.3425217866897583], [9227, 1.4192111492156982], [9038, 1.5191783905029297]]","[[9694, 1.2467817068099976], [9333, 1.2771892547607422], [7147, 1.3425217866897583], [9227, 1.4192111492156982], [9038, 1.5191783905029297], [7973, 1.527437448501587], [8056, 1.5382800102233887], [9735, 1.544461965560913], [7154, 1.5494592189788818], [7060, 1.5668511390686035]]","[[9694, 1.2467817068099976], [9333, 1.2771892547607422], [7147, 1.3425217866897583], [9227, 1.4192111492156982], [9038, 1.5191783905029297], [7973, 1.527437448501587], [8056, 1.5382800102233887], [9735, 1.544461965560913], [7154, 1.5494592189788818], [7060, 1.5668511390686035], [7799, 1.5671322345733643], [9335, 1.575474500656128], [7968, 1.5754954814910889], [9337, 1.5815114974975586], [9327, 1.583888292312622]]",9694
video9609,two astronauts experiencing a tense situation before relaxing afterwards,"[[9609, 1.3603399991989136]]","[[9609, 1.3603399991989136], [7233, 1.490715742111206], [9578, 1.5044121742248535], [8808, 1.5044642686843872], [7114, 1.5256341695785522]]","[[9609, 1.3603399991989136], [7233, 1.490715742111206], [9578, 1.5044121742248535], [8808, 1.5044642686843872], [7114, 1.5256341695785522], [8828, 1.526914119720459], [9686, 1.5289032459259033], [9520, 1.5347301959991455], [9744, 1.5389158725738525], [7562, 1.5421775579452515]]","[[9609, 1.3603399991989136], [7233, 1.490715742111206], [9578, 1.5044121742248535], [8808, 1.5044642686843872], [7114, 1.5256341695785522], [8828, 1.526914119720459], [9686, 1.5289032459259033], [9520, 1.5347301959991455], [9744, 1.5389158725738525], [7562, 1.5421775579452515], [8319, 1.548812985420227], [7832, 1.5491540431976318], [7027, 1.5525660514831543], [7468, 1.556013584136963], [7501, 1.5568015575408936]]",9609
