rel_video_id,query,top1,top5,top10,ground_truth
video8901,men pushing a car down assembly line,"[[8901, 1.383462905883789]]","[[8901, 1.383462905883789], [7110, 1.4505583047866821], [9508, 1.4549766778945923], [7343, 1.4565224647521973], [8651, 1.482353687286377]]","[[8901, 1.383462905883789], [7110, 1.4505583047866821], [9508, 1.4549766778945923], [7343, 1.4565224647521973], [8651, 1.482353687286377], [7151, 1.4885025024414062], [9744, 1.5076003074645996], [7060, 1.511965274810791], [7820, 1.5257827043533325], [8246, 1.5283311605453491]]",8901
video8799,different letters are coming out and sounding out the way they sound,"[[8671, 1.4675716161727905]]","[[8671, 1.4675716161727905], [8799, 1.4856184720993042], [8909, 1.4891395568847656], [7900, 1.494365930557251], [9695, 1.4961161613464355]]","[[8671, 1.4675716161727905], [8799, 1.4856184720993042], [8909, 1.4891395568847656], [7900, 1.494365930557251], [9695, 1.4961161613464355], [7355, 1.5035340785980225], [9620, 1.5039732456207275], [7372, 1.5041968822479248], [8328, 1.5115635395050049], [7431, 1.5117028951644897]]",8799
video7614,a man picking out a vehicle from the trailer,"[[8420, 1.467728853225708]]","[[8420, 1.467728853225708], [9508, 1.479027271270752], [7614, 1.4885252714157104], [8556, 1.506749153137207], [8075, 1.5122785568237305]]","[[8420, 1.467728853225708], [9508, 1.479027271270752], [7614, 1.4885252714157104], [8556, 1.506749153137207], [8075, 1.5122785568237305], [9252, 1.5152509212493896], [9358, 1.523653507232666], [7820, 1.5239460468292236], [9878, 1.527302622795105], [8651, 1.5289993286132812]]",7614
video7340,a man is talking about his car s features while inside his car,"[[7597, 1.4498766660690308]]","[[7597, 1.4498766660690308], [7354, 1.4601596593856812], [7356, 1.4651232957839966], [7026, 1.4743115901947021], [7340, 1.508532166481018]]","[[7597, 1.4498766660690308], [7354, 1.4601596593856812], [7356, 1.4651232957839966], [7026, 1.4743115901947021], [7340, 1.508532166481018], [7965, 1.5132184028625488], [7765, 1.5160470008850098], [9358, 1.5230669975280762], [8263, 1.5233652591705322], [9514, 1.5265381336212158]]",7340
video8475,scrolling the the menu of movieclips with different movie trailers,"[[9804, 1.3284748792648315]]","[[9804, 1.3284748792648315], [8475, 1.3882086277008057], [7229, 1.4776791334152222], [8485, 1.4854562282562256], [8811, 1.5170812606811523]]","[[9804, 1.3284748792648315], [8475, 1.3882086277008057], [7229, 1.4776791334152222], [8485, 1.4854562282562256], [8811, 1.5170812606811523], [8909, 1.5412018299102783], [7467, 1.5580313205718994], [7355, 1.5581369400024414], [7223, 1.5612396001815796], [8319, 1.562732458114624]]",8475
video9207,a lady is put makeup especially around her eyes,"[[9818, 1.419318437576294]]","[[9818, 1.419318437576294], [9207, 1.4497345685958862], [9688, 1.474454402923584], [8488, 1.4825096130371094], [7571, 1.487496018409729]]","[[9818, 1.419318437576294], [9207, 1.4497345685958862], [9688, 1.474454402923584], [8488, 1.4825096130371094], [7571, 1.487496018409729], [8012, 1.5099172592163086], [8712, 1.518730640411377], [7216, 1.5301635265350342], [8320, 1.5302993059158325], [9822, 1.5324534177780151]]",9207
video9545,some one talking about top ten movies of the year,"[[7501, 1.4478496313095093]]","[[7501, 1.4478496313095093], [8752, 1.4489877223968506], [8811, 1.4652066230773926], [8475, 1.4729137420654297], [7229, 1.4775035381317139]]","[[7501, 1.4478496313095093], [8752, 1.4489877223968506], [8811, 1.4652066230773926], [8475, 1.4729137420654297], [7229, 1.4775035381317139], [7964, 1.4778847694396973], [8254, 1.4822301864624023], [9804, 1.4847131967544556], [7946, 1.4918532371520996], [8828, 1.4928350448608398]]",9545
video9323,it is the video of military men,"[[7373, 1.4537384510040283]]","[[7373, 1.4537384510040283], [8499, 1.4610280990600586], [9235, 1.464968204498291], [9255, 1.4721370935440063], [8805, 1.4880149364471436]]","[[7373, 1.4537384510040283], [8499, 1.4610280990600586], [9235, 1.464968204498291], [9255, 1.4721370935440063], [8805, 1.4880149364471436], [8938, 1.501288890838623], [7444, 1.5037248134613037], [9450, 1.5068320035934448], [9578, 1.5136353969573975], [8346, 1.51634681224823]]",9323
video7219,a man drives a red indianapolis 500 type race car around an asphalt track,"[[7219, 1.444251298904419]]","[[7219, 1.444251298904419], [7214, 1.471051573753357], [9535, 1.507161259651184], [8089, 1.5089290142059326], [9328, 1.528660774230957]]","[[7219, 1.444251298904419], [7214, 1.471051573753357], [9535, 1.507161259651184], [8089, 1.5089290142059326], [9328, 1.528660774230957], [7965, 1.558365821838379], [7544, 1.5647597312927246], [9017, 1.565866470336914], [8819, 1.5699734687805176], [8263, 1.5708712339401245]]",7219
video9038,a person is preparing some food,"[[8656, 1.486454963684082]]","[[8656, 1.486454963684082], [8915, 1.487082839012146], [7785, 1.4912824630737305], [7695, 1.4914937019348145], [8483, 1.493774175643921]]","[[8656, 1.486454963684082], [8915, 1.487082839012146], [7785, 1.4912824630737305], [7695, 1.4914937019348145], [8483, 1.493774175643921], [7148, 1.4949042797088623], [9038, 1.4961910247802734], [8865, 1.4976496696472168], [9693, 1.4989094734191895], [8325, 1.499847650527954]]",9038
video8444,two ladies in a cookery show explain how to marinate chicken already cleaned and ready with salt and cilantro sprigs,"[[8444, 1.3781781196594238]]","[[8444, 1.3781781196594238], [7939, 1.4605979919433594], [9687, 1.4745221138000488], [8057, 1.4955034255981445], [8300, 1.5122966766357422]]","[[8444, 1.3781781196594238], [7939, 1.4605979919433594], [9687, 1.4745221138000488], [8057, 1.4955034255981445], [8300, 1.5122966766357422], [7415, 1.514657735824585], [8479, 1.5253115892410278], [7845, 1.5494314432144165], [9689, 1.5571115016937256], [7744, 1.5583902597427368]]",8444
video8491,a police officer pulls a gun at a swimming pool,"[[9830, 1.4948266744613647]]","[[9830, 1.4948266744613647], [7542, 1.5131126642227173], [7797, 1.5330133438110352], [8491, 1.540963053703308], [8949, 1.5451470613479614]]","[[9830, 1.4948266744613647], [7542, 1.5131126642227173], [7797, 1.5330133438110352], [8491, 1.540963053703308], [8949, 1.5451470613479614], [9578, 1.5474894046783447], [9323, 1.549791693687439], [9819, 1.554671287536621], [8808, 1.5561808347702026], [9784, 1.5573854446411133]]",8491
video8652,a man runs into the crowd when trying to catch a basketball,"[[8124, 1.4648971557617188]]","[[8124, 1.4648971557617188], [8253, 1.4676828384399414], [8652, 1.4691777229309082], [7112, 1.4704734086990356], [9018, 1.4922583103179932]]","[[8124, 1.4648971557617188], [8253, 1.4676828384399414], [8652, 1.4691777229309082], [7112, 1.4704734086990356], [9018, 1.4922583103179932], [7710, 1.494208812713623], [9013, 1.4949133396148682], [8668, 1.5091593265533447], [7763, 1.5130016803741455], [7839, 1.515290379524231]]",8652
video7790,a guy with glasses is standing next to some signs,"[[7790, 1.3817585706710815]]","[[7790, 1.3817585706710815], [8257, 1.439882755279541], [9825, 1.4774692058563232], [8671, 1.4862604141235352], [9236, 1.490206241607666]]","[[7790, 1.3817585706710815], [8257, 1.439882755279541], [9825, 1.4774692058563232], [8671, 1.4862604141235352], [9236, 1.490206241607666], [9249, 1.4971462488174438], [9885, 1.499542474746704], [7412, 1.4996685981750488], [8022, 1.5003544092178345], [9802, 1.5042877197265625]]",7790
video9416,person is recording the brown horse which is having fun,"[[9416, 1.3771660327911377]]","[[9416, 1.3771660327911377], [9839, 1.3925282955169678], [8242, 1.432607650756836], [9577, 1.4432578086853027], [8327, 1.4514296054840088]]","[[9416, 1.3771660327911377], [9839, 1.3925282955169678], [8242, 1.432607650756836], [9577, 1.4432578086853027], [8327, 1.4514296054840088], [7615, 1.5002552270889282], [9451, 1.5100059509277344], [7361, 1.5126535892486572], [7024, 1.5309728384017944], [9248, 1.5406372547149658]]",9416
video8260,man in white hoodie turns a page to tell you about an online store the url is available in the description,"[[7469, 1.469946265220642]]","[[7469, 1.469946265220642], [8828, 1.4869508743286133], [7755, 1.4953733682632446], [8909, 1.5208876132965088], [8618, 1.5209028720855713]]","[[7469, 1.469946265220642], [8828, 1.4869508743286133], [7755, 1.4953733682632446], [8909, 1.5208876132965088], [8618, 1.5209028720855713], [7563, 1.5219981670379639], [7431, 1.5331602096557617], [7900, 1.5360126495361328], [7501, 1.5406832695007324], [8904, 1.5416136980056763]]",8260
video7751,two women rare sitting speaking on sites in los angeles,"[[7751, 1.4387030601501465]]","[[7751, 1.4387030601501465], [9835, 1.481759786605835], [9037, 1.5019909143447876], [9039, 1.5092895030975342], [8481, 1.5096063613891602]]","[[7751, 1.4387030601501465], [9835, 1.481759786605835], [9037, 1.5019909143447876], [9039, 1.5092895030975342], [8481, 1.5096063613891602], [8022, 1.5111513137817383], [8068, 1.513671875], [7119, 1.5136892795562744], [9353, 1.5147846937179565], [8783, 1.5159094333648682]]",7751
video8124,basketball players making a shot in the last seven seconds,"[[8253, 1.441934585571289]]","[[8253, 1.441934585571289], [7763, 1.442899465560913], [9013, 1.4506635665893555], [8668, 1.458108901977539], [7710, 1.4653801918029785]]","[[8253, 1.441934585571289], [7763, 1.442899465560913], [9013, 1.4506635665893555], [8668, 1.458108901977539], [7710, 1.4653801918029785], [8124, 1.468859314918518], [9018, 1.4923312664031982], [7112, 1.5117071866989136], [8652, 1.5124294757843018], [9019, 1.5204384326934814]]",8124
video7556,people are playing baseball,"[[7556, 1.4257845878601074]]","[[7556, 1.4257845878601074], [8049, 1.4417871236801147], [8308, 1.443986177444458], [7021, 1.444197654724121], [9534, 1.464630365371704]]","[[7556, 1.4257845878601074], [8049, 1.4417871236801147], [8308, 1.443986177444458], [7021, 1.444197654724121], [9534, 1.464630365371704], [8913, 1.4769401550292969], [7787, 1.4943063259124756], [8013, 1.516533613204956], [9542, 1.5209425687789917], [7150, 1.526464819908142]]",7556
video8265,someone plays a guitar and sings on stage of a tv show,"[[8265, 1.4418554306030273]]","[[8265, 1.4418554306030273], [7961, 1.4527113437652588], [8251, 1.4570415019989014], [7156, 1.457629919052124], [7419, 1.468682885169983]]","[[8265, 1.4418554306030273], [7961, 1.4527113437652588], [8251, 1.4570415019989014], [7156, 1.457629919052124], [7419, 1.468682885169983], [8482, 1.4695509672164917], [7228, 1.4744505882263184], [9222, 1.4805840253829956], [8810, 1.4827196598052979], [7976, 1.4833314418792725]]",8265
video7368,a martial arts cartoon,"[[8245, 1.4616633653640747]]","[[8245, 1.4616633653640747], [8903, 1.4744890928268433], [9247, 1.477393627166748], [9805, 1.4782400131225586], [8794, 1.491713285446167]]","[[8245, 1.4616633653640747], [8903, 1.4744890928268433], [9247, 1.477393627166748], [9805, 1.4782400131225586], [8794, 1.491713285446167], [9772, 1.4973489046096802], [9221, 1.4996647834777832], [9306, 1.5035368204116821], [7831, 1.5060384273529053], [7164, 1.5075962543487549]]",7368
video9625,its a cooking recipe show with chicken vegetables,"[[8057, 1.4631593227386475]]","[[8057, 1.4631593227386475], [9639, 1.470842957496643], [9625, 1.4756269454956055], [7939, 1.4848718643188477], [9687, 1.5047147274017334]]","[[8057, 1.4631593227386475], [9639, 1.470842957496643], [9625, 1.4756269454956055], [7939, 1.4848718643188477], [9687, 1.5047147274017334], [7415, 1.5228244066238403], [8751, 1.522878885269165], [8444, 1.5283596515655518], [7376, 1.529662013053894], [8656, 1.5306174755096436]]",9625
video7134,a class is being introduced to a digital reading device,"[[7134, 1.407905101776123]]","[[7134, 1.407905101776123], [8472, 1.424473524093628], [7345, 1.5004533529281616], [7431, 1.506452202796936], [8331, 1.5084058046340942]]","[[7134, 1.407905101776123], [8472, 1.424473524093628], [7345, 1.5004533529281616], [7431, 1.506452202796936], [8331, 1.5084058046340942], [8328, 1.5175747871398926], [7843, 1.5179718732833862], [9697, 1.5206222534179688], [8626, 1.520926833152771], [9908, 1.5271954536437988]]",7134
video9521,a person is passing by a jolly group of men,"[[8851, 1.4523309469223022]]","[[8851, 1.4523309469223022], [7028, 1.4671354293823242], [7741, 1.4744906425476074], [8306, 1.4857490062713623], [8801, 1.491788387298584]]","[[8851, 1.4523309469223022], [7028, 1.4671354293823242], [7741, 1.4744906425476074], [8306, 1.4857490062713623], [8801, 1.491788387298584], [9833, 1.5006829500198364], [9131, 1.5028550624847412], [7371, 1.5113073587417603], [9489, 1.5154021978378296], [8243, 1.5167194604873657]]",9521
video8866,a news scene of the dog s exercise and diet,"[[8866, 1.3096643686294556]]","[[8866, 1.3096643686294556], [7798, 1.4736928939819336], [8604, 1.4956245422363281], [7146, 1.5064003467559814], [9339, 1.5079715251922607]]","[[8866, 1.3096643686294556], [7798, 1.4736928939819336], [8604, 1.4956245422363281], [7146, 1.5064003467559814], [9339, 1.5079715251922607], [9037, 1.5145288705825806], [9034, 1.5152981281280518], [7579, 1.5230998992919922], [9580, 1.536912441253662], [8323, 1.543212890625]]",8866
video8812,shows a globe and a bunch of people,"[[9680, 1.43483567237854]]","[[9680, 1.43483567237854], [8727, 1.493622064590454], [7223, 1.4937846660614014], [8937, 1.4980566501617432], [7027, 1.5046374797821045]]","[[9680, 1.43483567237854], [8727, 1.493622064590454], [7223, 1.4937846660614014], [8937, 1.4980566501617432], [7027, 1.5046374797821045], [8306, 1.5063576698303223], [8812, 1.5090601444244385], [8336, 1.5144131183624268], [7562, 1.5160572528839111], [9821, 1.5176167488098145]]",8812
video8110,a cartoon woman cries at a bench while a woman in blue appears,"[[7365, 1.4673084020614624]]","[[7365, 1.4673084020614624], [8341, 1.5172412395477295], [7222, 1.5265822410583496], [8110, 1.537768840789795], [8486, 1.5445200204849243]]","[[7365, 1.4673084020614624], [8341, 1.5172412395477295], [7222, 1.5265822410583496], [8110, 1.537768840789795], [8486, 1.5445200204849243], [7831, 1.5528991222381592], [7157, 1.555620789527893], [8446, 1.562729835510254], [9777, 1.5740244388580322], [8911, 1.574933648109436]]",8110
video7546,a man and a woman are talking about something,"[[7613, 1.457398533821106]]","[[7613, 1.457398533821106], [7119, 1.4775164127349854], [7546, 1.4849046468734741], [9223, 1.4890024662017822], [8974, 1.497351884841919]]","[[7613, 1.457398533821106], [7119, 1.4775164127349854], [7546, 1.4849046468734741], [9223, 1.4890024662017822], [8974, 1.497351884841919], [8175, 1.4985358715057373], [8807, 1.5034377574920654], [8653, 1.5053422451019287], [8683, 1.5076465606689453], [7578, 1.509178638458252]]",7546
video9509,a women in blue shows two pink lipsticks,"[[9822, 1.5022809505462646]]","[[9822, 1.5022809505462646], [7173, 1.5038076639175415], [8320, 1.5105664730072021], [7580, 1.5299503803253174], [9207, 1.5355443954467773]]","[[9822, 1.5022809505462646], [7173, 1.5038076639175415], [8320, 1.5105664730072021], [7580, 1.5299503803253174], [9207, 1.5355443954467773], [8073, 1.5369601249694824], [7216, 1.5463836193084717], [8669, 1.547196865081787], [8423, 1.55283784866333], [9782, 1.553415060043335]]",9509
video9549,video of a computer program while someone navigates through its menus,"[[7166, 1.4675532579421997]]","[[7166, 1.4675532579421997], [7913, 1.4708473682403564], [8328, 1.4782474040985107], [7203, 1.47950279712677], [8909, 1.4812612533569336]]","[[7166, 1.4675532579421997], [7913, 1.4708473682403564], [8328, 1.4782474040985107], [7203, 1.47950279712677], [8909, 1.4812612533569336], [8860, 1.4830517768859863], [8111, 1.4906256198883057], [8921, 1.4906566143035889], [9820, 1.5004096031188965], [7347, 1.5009676218032837]]",9549
video7157,an anime cartoon character speaks to another character,"[[7157, 1.3948785066604614]]","[[7157, 1.3948785066604614], [7831, 1.4249972105026245], [8341, 1.4437568187713623], [9247, 1.4646458625793457], [9790, 1.4805808067321777]]","[[7157, 1.3948785066604614], [7831, 1.4249972105026245], [8341, 1.4437568187713623], [9247, 1.4646458625793457], [9790, 1.4805808067321777], [7222, 1.488835334777832], [9734, 1.4949560165405273], [8446, 1.4966362714767456], [7029, 1.496744155883789], [9808, 1.500466227531433]]",7157
video7020,a woman creating a fondant baby and flower,"[[7020, 1.391182780265808]]","[[7020, 1.391182780265808], [7173, 1.492611289024353], [7561, 1.4935009479522705], [8620, 1.528589129447937], [8240, 1.5365757942199707]]","[[7020, 1.391182780265808], [7173, 1.492611289024353], [7561, 1.4935009479522705], [8620, 1.528589129447937], [8240, 1.5365757942199707], [9684, 1.5384172201156616], [8791, 1.5405199527740479], [8784, 1.5497286319732666], [9349, 1.559470772743225], [8915, 1.5666241645812988]]",7020
video9328,a car is racing on road,"[[9328, 1.4406508207321167]]","[[9328, 1.4406508207321167], [7616, 1.4520905017852783], [9535, 1.4545166492462158], [9800, 1.4769972562789917], [8089, 1.4770939350128174]]","[[9328, 1.4406508207321167], [7616, 1.4520905017852783], [9535, 1.4545166492462158], [9800, 1.4769972562789917], [8089, 1.4770939350128174], [8263, 1.4777752161026], [9325, 1.4804102182388306], [7214, 1.4853614568710327], [7506, 1.4872102737426758], [9511, 1.487298607826233]]",9328
video9826,an animated micky is driving a car,"[[9826, 1.4649572372436523]]","[[9826, 1.4649572372436523], [8973, 1.46748948097229], [8781, 1.4992314577102661], [7464, 1.5283300876617432], [8110, 1.5306084156036377]]","[[9826, 1.4649572372436523], [8973, 1.46748948097229], [8781, 1.4992314577102661], [7464, 1.5283300876617432], [8110, 1.5306084156036377], [7912, 1.5329397916793823], [9580, 1.5350805521011353], [9776, 1.5351811647415161], [8128, 1.5458836555480957], [7506, 1.5461266040802002]]",9826
video8861,a white male raps while another plays guitar,"[[8861, 1.3847472667694092]]","[[8861, 1.3847472667694092], [7976, 1.4803476333618164], [8251, 1.485069990158081], [7205, 1.4883579015731812], [7419, 1.4931316375732422]]","[[8861, 1.3847472667694092], [7976, 1.4803476333618164], [8251, 1.485069990158081], [7205, 1.4883579015731812], [7419, 1.4931316375732422], [7961, 1.4949162006378174], [7969, 1.5008759498596191], [7227, 1.5085029602050781], [8978, 1.5097253322601318], [7028, 1.522162914276123]]",8861
video9322,a woman gets trapped in a burning trailer,"[[9354, 1.4423545598983765]]","[[9354, 1.4423545598983765], [9623, 1.481887698173523], [8902, 1.4936838150024414], [8392, 1.4987982511520386], [9237, 1.5063233375549316]]","[[9354, 1.4423545598983765], [9623, 1.481887698173523], [8902, 1.4936838150024414], [8392, 1.4987982511520386], [9237, 1.5063233375549316], [9816, 1.5156385898590088], [9686, 1.516326904296875], [8680, 1.5197696685791016], [8305, 1.5308005809783936], [8556, 1.5324122905731201]]",9322
video7491,a person explaining a concept in a show,"[[7418, 1.467020034790039]]","[[7418, 1.467020034790039], [8804, 1.4792208671569824], [8072, 1.4818490743637085], [8917, 1.4838627576828003], [7215, 1.4964513778686523]]","[[7418, 1.467020034790039], [8804, 1.4792208671569824], [8072, 1.4818490743637085], [8917, 1.4838627576828003], [7215, 1.4964513778686523], [9821, 1.4972941875457764], [8908, 1.5006402730941772], [9024, 1.5026190280914307], [9236, 1.5036752223968506], [8932, 1.5040041208267212]]",7491
video9575,the woman in the purple blouse talk as the shelves are behind her,"[[7438, 1.4001948833465576]]","[[7438, 1.4001948833465576], [9575, 1.4242337942123413], [7145, 1.4922583103179932], [7698, 1.4988460540771484], [7179, 1.5059698820114136]]","[[7438, 1.4001948833465576], [9575, 1.4242337942123413], [7145, 1.4922583103179932], [7698, 1.4988460540771484], [7179, 1.5059698820114136], [7580, 1.506946086883545], [8461, 1.512507438659668], [8333, 1.5260233879089355], [8494, 1.5285037755966187], [8664, 1.5309784412384033]]",9575
video7177,girl is dancing in the garden,"[[8507, 1.3410032987594604]]","[[8507, 1.3410032987594604], [9226, 1.4111905097961426], [7599, 1.4889668226242065], [9815, 1.4951685667037964], [7177, 1.5035760402679443]]","[[8507, 1.3410032987594604], [9226, 1.4111905097961426], [7599, 1.4889668226242065], [9815, 1.4951685667037964], [7177, 1.5035760402679443], [9521, 1.5250322818756104], [8556, 1.5280232429504395], [8481, 1.5287210941314697], [7117, 1.534642219543457], [9685, 1.5371991395950317]]",7177
video8327,multi colored horses in a barn and outside in the snow,"[[8327, 1.4489977359771729]]","[[8327, 1.4489977359771729], [9839, 1.4629647731781006], [8242, 1.553010106086731], [9577, 1.5612508058547974], [9332, 1.5812678337097168]]","[[8327, 1.4489977359771729], [9839, 1.4629647731781006], [8242, 1.553010106086731], [9577, 1.5612508058547974], [9332, 1.5812678337097168], [9244, 1.5873886346817017], [9416, 1.5874522924423218], [9451, 1.5941789150238037], [9248, 1.606452465057373], [8111, 1.614825963973999]]",8327
video7116,a group of people are walking a woman is talking about their culture,"[[9131, 1.4358444213867188]]","[[9131, 1.4358444213867188], [8022, 1.4543761014938354], [8014, 1.4556928873062134], [7364, 1.46478271484375], [7568, 1.4661120176315308]]","[[9131, 1.4358444213867188], [8022, 1.4543761014938354], [8014, 1.4556928873062134], [7364, 1.46478271484375], [7568, 1.4661120176315308], [7116, 1.4669451713562012], [9521, 1.4870171546936035], [8306, 1.487776279449463], [9337, 1.4925086498260498], [8241, 1.4935166835784912]]",7116
video7118,a young girl in a horror movie is haunted,"[[9878, 1.4285848140716553]]","[[9878, 1.4285848140716553], [9816, 1.4314184188842773], [9237, 1.4448508024215698], [7782, 1.4497098922729492], [9686, 1.4599323272705078]]","[[9878, 1.4285848140716553], [9816, 1.4314184188842773], [9237, 1.4448508024215698], [7782, 1.4497098922729492], [9686, 1.4599323272705078], [9780, 1.460893154144287], [9012, 1.4640378952026367], [8832, 1.464113712310791], [8902, 1.4668300151824951], [8340, 1.4819092750549316]]",7118
video7695,a man is stirring something in a pot,"[[8656, 1.458329439163208]]","[[8656, 1.458329439163208], [8834, 1.4782984256744385], [8300, 1.4910093545913696], [8662, 1.4941015243530273], [8654, 1.4966405630111694]]","[[8656, 1.458329439163208], [8834, 1.4782984256744385], [8300, 1.4910093545913696], [8662, 1.4941015243530273], [8654, 1.4966405630111694], [7376, 1.4999831914901733], [7148, 1.5066280364990234], [9694, 1.5137977600097656], [9689, 1.5160019397735596], [7785, 1.5175254344940186]]",7695
video7632,a man walks between two brick buildings a dusk,"[[7632, 1.3574957847595215]]","[[7632, 1.3574957847595215], [9871, 1.5041112899780273], [8741, 1.5109903812408447], [7368, 1.5127414464950562], [8670, 1.5197813510894775]]","[[7632, 1.3574957847595215], [9871, 1.5041112899780273], [8741, 1.5109903812408447], [7368, 1.5127414464950562], [8670, 1.5197813510894775], [7468, 1.5234472751617432], [8902, 1.5326039791107178], [8073, 1.5349626541137695], [9795, 1.537973165512085], [9010, 1.542876124382019]]",7632
video7587,two men in a wrestling competition,"[[8470, 1.4596253633499146]]","[[8470, 1.4596253633499146], [8823, 1.46238112449646], [9803, 1.4626010656356812], [8440, 1.467937707901001], [7587, 1.4747480154037476]]","[[8470, 1.4596253633499146], [8823, 1.46238112449646], [9803, 1.4626010656356812], [8440, 1.467937707901001], [7587, 1.4747480154037476], [7788, 1.4767463207244873], [8443, 1.4782249927520752], [8309, 1.4798616170883179], [8262, 1.4949346780776978], [8310, 1.5174423456192017]]",7587
video8333,a woman is talking in the tv channel,"[[7613, 1.439626693725586]]","[[7613, 1.439626693725586], [9205, 1.4489622116088867], [9204, 1.4491157531738281], [8333, 1.4513574838638306], [7145, 1.4565410614013672]]","[[7613, 1.439626693725586], [9205, 1.4489622116088867], [9204, 1.4491157531738281], [8333, 1.4513574838638306], [7145, 1.4565410614013672], [8494, 1.4588111639022827], [9037, 1.4657278060913086], [9882, 1.4695134162902832], [9793, 1.4697833061218262], [8650, 1.4758892059326172]]",8333
video9773,a boy plays grand theft auto 5,"[[8070, 1.4500222206115723]]","[[8070, 1.4500222206115723], [9813, 1.453076720237732], [9355, 1.4619404077529907], [8929, 1.4765909910202026], [8468, 1.4798121452331543]]","[[8070, 1.4500222206115723], [9813, 1.453076720237732], [9355, 1.4619404077529907], [8929, 1.4765909910202026], [8468, 1.4798121452331543], [9773, 1.483638882637024], [7445, 1.4873073101043701], [9344, 1.4978482723236084], [7766, 1.5064882040023804], [9832, 1.5131251811981201]]",9773
video9908,a woman talking about education,"[[7680, 1.4080893993377686]]","[[7680, 1.4080893993377686], [7134, 1.4648382663726807], [9908, 1.4762951135635376], [8472, 1.4814683198928833], [7843, 1.4894911050796509]]","[[7680, 1.4080893993377686], [7134, 1.4648382663726807], [9908, 1.4762951135635376], [8472, 1.4814683198928833], [7843, 1.4894911050796509], [8317, 1.5005348920822144], [7345, 1.5005381107330322], [7364, 1.500624179840088], [9204, 1.5042331218719482], [8022, 1.5086791515350342]]",9908
video7576,men are being filmed in the darkness,"[[7352, 1.422969102859497]]","[[7352, 1.422969102859497], [7233, 1.4595123529434204], [9520, 1.4596563577651978], [7576, 1.4659786224365234], [8851, 1.4739985466003418]]","[[7352, 1.422969102859497], [7233, 1.4595123529434204], [9520, 1.4596563577651978], [7576, 1.4659786224365234], [8851, 1.4739985466003418], [9744, 1.4739986658096313], [8305, 1.482804536819458], [9255, 1.490051507949829], [7686, 1.4923052787780762], [7444, 1.4978978633880615]]",7576
video7843,a woman discusses how we can help children in a classroom,"[[7680, 1.4080650806427002]]","[[7680, 1.4080650806427002], [9908, 1.4272515773773193], [7843, 1.4312870502471924], [7134, 1.431368112564087], [9775, 1.4769314527511597]]","[[7680, 1.4080650806427002], [9908, 1.4272515773773193], [7843, 1.4312870502471924], [7134, 1.431368112564087], [9775, 1.4769314527511597], [8472, 1.5005717277526855], [9777, 1.5204832553863525], [9824, 1.5262315273284912], [7345, 1.5285241603851318], [7341, 1.531952142715454]]",7843
video7741,a cartoon man in sunglasses waves at the crowd and smiles,"[[8303, 1.4135220050811768]]","[[8303, 1.4135220050811768], [7741, 1.4639509916305542], [7218, 1.4745924472808838], [7835, 1.4909436702728271], [9537, 1.513334035873413]]","[[8303, 1.4135220050811768], [7741, 1.4639509916305542], [7218, 1.4745924472808838], [7835, 1.4909436702728271], [9537, 1.513334035873413], [7747, 1.5200871229171753], [9745, 1.522214412689209], [9524, 1.5227564573287964], [9221, 1.527146339416504], [8973, 1.529922604560852]]",7741
video8572,a man grabs at snakes and throws them around the room,"[[7350, 1.4525854587554932]]","[[7350, 1.4525854587554932], [8572, 1.4862780570983887], [7466, 1.4966132640838623], [7963, 1.5061455965042114], [7838, 1.5197299718856812]]","[[7350, 1.4525854587554932], [8572, 1.4862780570983887], [7466, 1.4966132640838623], [7963, 1.5061455965042114], [7838, 1.5197299718856812], [8492, 1.527705192565918], [7594, 1.5289230346679688], [8808, 1.5519766807556152], [7593, 1.554701566696167], [7028, 1.556647539138794]]",8572
video9755,advertisement of seat basket,"[[9358, 1.518669843673706]]","[[9358, 1.518669843673706], [7209, 1.525316596031189], [7217, 1.5327757596969604], [9755, 1.533837080001831], [7563, 1.538072109222412]]","[[9358, 1.518669843673706], [7209, 1.525316596031189], [7217, 1.5327757596969604], [9755, 1.533837080001831], [7563, 1.538072109222412], [8258, 1.5383903980255127], [8820, 1.5410488843917847], [8657, 1.541062831878662], [7064, 1.5501433610916138], [9679, 1.550885796546936]]",9755
video9206,a man punches a faucet to show how much better bottled water is,"[[9206, 1.4284809827804565]]","[[9206, 1.4284809827804565], [7726, 1.5446443557739258], [8492, 1.5454084873199463], [8456, 1.560442566871643], [9770, 1.5683096647262573]]","[[9206, 1.4284809827804565], [7726, 1.5446443557739258], [8492, 1.5454084873199463], [8456, 1.560442566871643], [9770, 1.5683096647262573], [7575, 1.5711562633514404], [9699, 1.5782824754714966], [8572, 1.5798873901367188], [8804, 1.581993818283081], [8067, 1.584447979927063]]",9206
video9208,a man is showing the foot well under the door jam area of the car,"[[8250, 1.4543697834014893]]","[[8250, 1.4543697834014893], [9878, 1.495823621749878], [7356, 1.4980502128601074], [7820, 1.5046718120574951], [9252, 1.50863778591156]]","[[8250, 1.4543697834014893], [9878, 1.495823621749878], [7356, 1.4980502128601074], [7820, 1.5046718120574951], [9252, 1.50863778591156], [7588, 1.5112370252609253], [7350, 1.5202767848968506], [8924, 1.52139413356781], [8867, 1.5229902267456055], [8246, 1.5247917175292969]]",9208
