video_id,sentence,ground_truth,top1,top5,top10,top10_raw_res
2672,a board game where guards are eliminated is talked about,2672,"[[5569, 1.4196226596832275]]","[[5569, 1.4196226596832275], [4272, 1.433558702468872], [9887, 1.4554001092910767], [3156, 1.4597876071929932], [5104, 1.4621461629867554]]","[[5569, 1.4196226596832275], [4272, 1.433558702468872], [9887, 1.4554001092910767], [3156, 1.4597876071929932], [5104, 1.4621461629867554], [4370, 1.4803617000579834], [3214, 1.488663911819458], [5009, 1.4904506206512451], [2151, 1.4917500019073486], [5397, 1.4935027360916138]]","[[5569, 1.4196226596832275], [4272, 1.433558702468872], [9887, 1.4554001092910767], [3156, 1.4597876071929932], [5104, 1.4621461629867554], [4370, 1.4803617000579834], [3214, 1.488663911819458], [5009, 1.4904506206512451], [2151, 1.4917500019073486], [5397, 1.4935027360916138]]"
6736,a bmw car is shown first and then two other different brand cars are shown,6736,"[[3342, 1.4560489654541016]]","[[3342, 1.4560489654541016], [8152, 1.4566853046417236], [9940, 1.4610331058502197], [5109, 1.4659738540649414], [1718, 1.4693970680236816]]","[[3342, 1.4560489654541016], [8152, 1.4566853046417236], [9940, 1.4610331058502197], [5109, 1.4659738540649414], [1718, 1.4693970680236816], [6948, 1.4740002155303955], [4765, 1.4782917499542236], [4636, 1.4820213317871094], [5196, 1.4833378791809082], [7866, 1.4849331378936768]]","[[3342, 1.4560489654541016], [8152, 1.4566853046417236], [9940, 1.4610331058502197], [5109, 1.4659738540649414], [1718, 1.4693970680236816], [6948, 1.4740002155303955], [4765, 1.4782917499542236], [4636, 1.4820213317871094], [5196, 1.4833378791809082], [7866, 1.4849331378936768]]"
1443,a blurry animation of two dogs,1443,"[[5550, 1.4073158502578735]]","[[5550, 1.4073158502578735], [3842, 1.4373944997787476], [8274, 1.43798828125], [9734, 1.439005970954895], [7338, 1.4400089979171753]]","[[5550, 1.4073158502578735], [3842, 1.4373944997787476], [8274, 1.43798828125], [9734, 1.439005970954895], [7338, 1.4400089979171753], [184, 1.4532420635223389], [376, 1.4533900022506714], [7329, 1.4627108573913574], [3593, 1.4681309461593628], [6027, 1.4778709411621094]]","[[5550, 1.4073158502578735], [3842, 1.4373944997787476], [8274, 1.43798828125], [9734, 1.439005970954895], [7338, 1.4400089979171753], [184, 1.4532420635223389], [376, 1.4533900022506714], [7329, 1.4627108573913574], [3593, 1.4681309461593628], [6027, 1.4778709411621094]]"
3216,a blue piece of paper is folded,3216,"[[5225, 1.377827763557434]]","[[5225, 1.377827763557434], [8002, 1.3923194408416748], [9301, 1.40997314453125], [1004, 1.4166057109832764], [3216, 1.4303228855133057]]","[[5225, 1.377827763557434], [8002, 1.3923194408416748], [9301, 1.40997314453125], [1004, 1.4166057109832764], [3216, 1.4303228855133057], [6780, 1.4403769969940186], [3577, 1.4484949111938477], [1430, 1.450739860534668], [3444, 1.456234097480774], [1514, 1.4585994482040405]]","[[5225, 1.377827763557434], [8002, 1.3923194408416748], [9301, 1.40997314453125], [1004, 1.4166057109832764], [3216, 1.4303228855133057], [6780, 1.4403769969940186], [3577, 1.4484949111938477], [1430, 1.450739860534668], [3444, 1.456234097480774], [1514, 1.4585994482040405]]"
5225,a blue piece of paper is being folded in half,5225,"[[5225, 1.3820276260375977]]","[[5225, 1.3820276260375977], [8002, 1.3983709812164307], [1004, 1.4226784706115723], [3216, 1.4294660091400146], [9301, 1.4350255727767944]]","[[5225, 1.3820276260375977], [8002, 1.3983709812164307], [1004, 1.4226784706115723], [3216, 1.4294660091400146], [9301, 1.4350255727767944], [6780, 1.4624063968658447], [3577, 1.4637846946716309], [1430, 1.4667176008224487], [3444, 1.4744856357574463], [4265, 1.4787395000457764]]","[[5225, 1.3820276260375977], [8002, 1.3983709812164307], [1004, 1.4226784706115723], [3216, 1.4294660091400146], [9301, 1.4350255727767944], [6780, 1.4624063968658447], [3577, 1.4637846946716309], [1430, 1.4667176008224487], [3444, 1.4744856357574463], [4265, 1.4787395000457764]]"
2530,a blue man is talking to a scientist,2530,"[[338, 1.4803417921066284]]","[[338, 1.4803417921066284], [5777, 1.486793875694275], [7900, 1.4922993183135986], [4444, 1.5041189193725586], [9379, 1.5063239336013794]]","[[338, 1.4803417921066284], [5777, 1.486793875694275], [7900, 1.4922993183135986], [4444, 1.5041189193725586], [9379, 1.5063239336013794], [1382, 1.5133877992630005], [7103, 1.51805579662323], [6425, 1.5252788066864014], [6193, 1.5274585485458374], [5546, 1.5283575057983398]]","[[338, 1.4803417921066284], [5777, 1.486793875694275], [7900, 1.4922993183135986], [4444, 1.5041189193725586], [9379, 1.5063239336013794], [1382, 1.5133877992630005], [7103, 1.51805579662323], [6425, 1.5252788066864014], [6193, 1.5274585485458374], [5546, 1.5283575057983398]]"
4881,a blue flame continues to burn in the rain,4881,"[[9849, 1.4081196784973145]]","[[9849, 1.4081196784973145], [4055, 1.4146499633789062], [2503, 1.4424936771392822], [5764, 1.4577686786651611], [6052, 1.4641586542129517]]","[[9849, 1.4081196784973145], [4055, 1.4146499633789062], [2503, 1.4424936771392822], [5764, 1.4577686786651611], [6052, 1.4641586542129517], [8490, 1.4678518772125244], [2561, 1.4685505628585815], [5890, 1.4727721214294434], [9612, 1.4754894971847534], [1691, 1.476667046546936]]","[[9849, 1.4081196784973145], [4055, 1.4146499633789062], [2503, 1.4424936771392822], [5764, 1.4577686786651611], [6052, 1.4641586542129517], [8490, 1.4678518772125244], [2561, 1.4685505628585815], [5890, 1.4727721214294434], [9612, 1.4754894971847534], [1691, 1.476667046546936]]"
4309,a boat rides along the river,4309,"[[1817, 1.3847630023956299]]","[[1817, 1.3847630023956299], [317, 1.404460072517395], [4249, 1.4384515285491943], [4417, 1.4540493488311768], [7314, 1.4553265571594238]]","[[1817, 1.3847630023956299], [317, 1.404460072517395], [4249, 1.4384515285491943], [4417, 1.4540493488311768], [7314, 1.4553265571594238], [2164, 1.4583728313446045], [8025, 1.4614945650100708], [8351, 1.4628589153289795], [5331, 1.4721970558166504], [2060, 1.473285436630249]]","[[1817, 1.3847630023956299], [317, 1.404460072517395], [4249, 1.4384515285491943], [4417, 1.4540493488311768], [7314, 1.4553265571594238], [2164, 1.4583728313446045], [8025, 1.4614945650100708], [8351, 1.4628589153289795], [5331, 1.4721970558166504], [2060, 1.473285436630249]]"
1951,a boat travels along the water,1951,"[[1817, 1.4180132150650024]]","[[1817, 1.4180132150650024], [317, 1.4234288930892944], [4249, 1.4371325969696045], [2164, 1.445970058441162], [8025, 1.4530757665634155]]","[[1817, 1.4180132150650024], [317, 1.4234288930892944], [4249, 1.4371325969696045], [2164, 1.445970058441162], [8025, 1.4530757665634155], [181, 1.4553707838058472], [5614, 1.4554171562194824], [5331, 1.456810474395752], [1947, 1.459025502204895], [4417, 1.4597105979919434]]","[[1817, 1.4180132150650024], [317, 1.4234288930892944], [4249, 1.4371325969696045], [2164, 1.445970058441162], [8025, 1.4530757665634155], [181, 1.4553707838058472], [5614, 1.4554171562194824], [5331, 1.456810474395752], [1947, 1.459025502204895], [4417, 1.4597105979919434]]"
2872,a boat travels along the water,2872,"[[1817, 1.4180132150650024]]","[[1817, 1.4180132150650024], [317, 1.4234288930892944], [4249, 1.4371325969696045], [2164, 1.445970058441162], [8025, 1.4530757665634155]]","[[1817, 1.4180132150650024], [317, 1.4234288930892944], [4249, 1.4371325969696045], [2164, 1.445970058441162], [8025, 1.4530757665634155], [181, 1.4553707838058472], [5614, 1.4554171562194824], [5331, 1.456810474395752], [1947, 1.459025502204895], [4417, 1.4597105979919434]]","[[1817, 1.4180132150650024], [317, 1.4234288930892944], [4249, 1.4371325969696045], [2164, 1.445970058441162], [8025, 1.4530757665634155], [181, 1.4553707838058472], [5614, 1.4554171562194824], [5331, 1.456810474395752], [1947, 1.459025502204895], [4417, 1.4597105979919434]]"
605,a bomb is being thrown,605,"[[2503, 1.4338841438293457]]","[[2503, 1.4338841438293457], [2579, 1.4812201261520386], [9721, 1.4819034337997437], [6847, 1.4957842826843262], [4568, 1.4995427131652832]]","[[2503, 1.4338841438293457], [2579, 1.4812201261520386], [9721, 1.4819034337997437], [6847, 1.4957842826843262], [4568, 1.4995427131652832], [1634, 1.5012414455413818], [4644, 1.5093492269515991], [6535, 1.509413242340088], [2938, 1.517509937286377], [5069, 1.5183244943618774]]","[[2503, 1.4338841438293457], [2579, 1.4812201261520386], [9721, 1.4819034337997437], [6847, 1.4957842826843262], [4568, 1.4995427131652832], [1634, 1.5012414455413818], [4644, 1.5093492269515991], [6535, 1.509413242340088], [2938, 1.517509937286377], [5069, 1.5183244943618774]]"
1475,a bomb explodes in a building,1475,"[[8950, 1.4578863382339478]]","[[8950, 1.4578863382339478], [3596, 1.4620757102966309], [2503, 1.4744051694869995], [5912, 1.4809257984161377], [6904, 1.4849750995635986]]","[[8950, 1.4578863382339478], [3596, 1.4620757102966309], [2503, 1.4744051694869995], [5912, 1.4809257984161377], [6904, 1.4849750995635986], [4568, 1.4856061935424805], [2579, 1.4865696430206299], [8311, 1.488091230392456], [9082, 1.504277229309082], [3426, 1.505373239517212]]","[[8950, 1.4578863382339478], [3596, 1.4620757102966309], [2503, 1.4744051694869995], [5912, 1.4809257984161377], [6904, 1.4849750995635986], [4568, 1.4856061935424805], [2579, 1.4865696430206299], [8311, 1.488091230392456], [9082, 1.504277229309082], [3426, 1.505373239517212]]"
4929,a bomb came out of nowhere trapping the person under a hole,4929,"[[1446, 1.473680853843689]]","[[1446, 1.473680853843689], [6007, 1.4738059043884277], [4121, 1.4924921989440918], [4014, 1.4943335056304932], [8311, 1.5012857913970947]]","[[1446, 1.473680853843689], [6007, 1.4738059043884277], [4121, 1.4924921989440918], [4014, 1.4943335056304932], [8311, 1.5012857913970947], [9527, 1.5023034811019897], [5019, 1.5056970119476318], [8572, 1.5079842805862427], [2320, 1.508307695388794], [6268, 1.5099296569824219]]","[[1446, 1.473680853843689], [6007, 1.4738059043884277], [4121, 1.4924921989440918], [4014, 1.4943335056304932], [8311, 1.5012857913970947], [9527, 1.5023034811019897], [5019, 1.5056970119476318], [8572, 1.5079842805862427], [2320, 1.508307695388794], [6268, 1.5099296569824219]]"
2579,a bomb blasts and damage 2 cars,2579,"[[4568, 1.4381825923919678]]","[[4568, 1.4381825923919678], [2503, 1.4457193613052368], [8311, 1.4459203481674194], [2579, 1.4470943212509155], [4073, 1.468031644821167]]","[[4568, 1.4381825923919678], [2503, 1.4457193613052368], [8311, 1.4459203481674194], [2579, 1.4470943212509155], [4073, 1.468031644821167], [6904, 1.4731471538543701], [3306, 1.4747200012207031], [6654, 1.4801435470581055], [431, 1.4829643964767456], [8497, 1.484053611755371]]","[[4568, 1.4381825923919678], [2503, 1.4457193613052368], [8311, 1.4459203481674194], [2579, 1.4470943212509155], [4073, 1.468031644821167], [6904, 1.4731471538543701], [3306, 1.4747200012207031], [6654, 1.4801435470581055], [431, 1.4829643964767456], [8497, 1.484053611755371]]"
4348,a bollywood trailer depicting a man on a motorbike,4348,"[[6413, 1.3845767974853516]]","[[6413, 1.3845767974853516], [4348, 1.4171088933944702], [6451, 1.4430302381515503], [245, 1.4790704250335693], [8820, 1.4981838464736938]]","[[6413, 1.3845767974853516], [4348, 1.4171088933944702], [6451, 1.4430302381515503], [245, 1.4790704250335693], [8820, 1.4981838464736938], [8657, 1.5008548498153687], [8974, 1.505086898803711], [2234, 1.505150556564331], [3663, 1.5080373287200928], [1209, 1.5102334022521973]]","[[6413, 1.3845767974853516], [4348, 1.4171088933944702], [6451, 1.4430302381515503], [245, 1.4790704250335693], [8820, 1.4981838464736938], [8657, 1.5008548498153687], [8974, 1.505086898803711], [2234, 1.505150556564331], [3663, 1.5080373287200928], [1209, 1.5102334022521973]]"
1072,a bollywood star is posing with other people,1072,"[[3321, 1.3633863925933838]]","[[3321, 1.3633863925933838], [4862, 1.3940201997756958], [1485, 1.3976764678955078], [3888, 1.4024693965911865], [4381, 1.4132459163665771]]","[[3321, 1.3633863925933838], [4862, 1.3940201997756958], [1485, 1.3976764678955078], [3888, 1.4024693965911865], [4381, 1.4132459163665771], [364, 1.4168834686279297], [7985, 1.4262149333953857], [4662, 1.4275456666946411], [4047, 1.4298176765441895], [9329, 1.430911898612976]]","[[3321, 1.3633863925933838], [4862, 1.3940201997756958], [1485, 1.3976764678955078], [3888, 1.4024693965911865], [4381, 1.4132459163665771], [364, 1.4168834686279297], [7985, 1.4262149333953857], [4662, 1.4275456666946411], [4047, 1.4298176765441895], [9329, 1.430911898612976]]"
590,a bollywood news program with voice-over narration,590,"[[4662, 1.4110321998596191]]","[[4662, 1.4110321998596191], [3888, 1.4136509895324707], [8453, 1.429161548614502], [590, 1.4385614395141602], [4862, 1.4393236637115479]]","[[4662, 1.4110321998596191], [3888, 1.4136509895324707], [8453, 1.429161548614502], [590, 1.4385614395141602], [4862, 1.4393236637115479], [4135, 1.441725492477417], [4381, 1.4428000450134277], [7985, 1.4522156715393066], [9225, 1.4528963565826416], [7931, 1.4541229009628296]]","[[4662, 1.4110321998596191], [3888, 1.4136509895324707], [8453, 1.429161548614502], [590, 1.4385614395141602], [4862, 1.4393236637115479], [4135, 1.441725492477417], [4381, 1.4428000450134277], [7985, 1.4522156715393066], [9225, 1.4528963565826416], [7931, 1.4541229009628296]]"
2405,a bollywood movie trailer,2405,"[[4348, 1.415486216545105]]","[[4348, 1.415486216545105], [6067, 1.4311676025390625], [6721, 1.4526416063308716], [3240, 1.4536316394805908], [7250, 1.4586163759231567]]","[[4348, 1.415486216545105], [6067, 1.4311676025390625], [6721, 1.4526416063308716], [3240, 1.4536316394805908], [7250, 1.4586163759231567], [9278, 1.463423252105713], [4795, 1.467655062675476], [1209, 1.472738265991211], [6229, 1.474202275276184], [8534, 1.4752461910247803]]","[[4348, 1.415486216545105], [6067, 1.4311676025390625], [6721, 1.4526416063308716], [3240, 1.4536316394805908], [7250, 1.4586163759231567], [9278, 1.463423252105713], [4795, 1.467655062675476], [1209, 1.472738265991211], [6229, 1.474202275276184], [8534, 1.4752461910247803]]"
3968,a bollywood movie scene with a man on a bed,3968,"[[9972, 1.3367702960968018]]","[[9972, 1.3367702960968018], [3968, 1.3474395275115967], [1184, 1.3666393756866455], [1269, 1.3749690055847168], [7048, 1.3898186683654785]]","[[9972, 1.3367702960968018], [3968, 1.3474395275115967], [1184, 1.3666393756866455], [1269, 1.3749690055847168], [7048, 1.3898186683654785], [6222, 1.3937203884124756], [9175, 1.4016985893249512], [7601, 1.402256727218628], [9009, 1.4025731086730957], [6074, 1.4099782705307007]]","[[9972, 1.3367702960968018], [3968, 1.3474395275115967], [1184, 1.3666393756866455], [1269, 1.3749690055847168], [7048, 1.3898186683654785], [6222, 1.3937203884124756], [9175, 1.4016985893249512], [7601, 1.402256727218628], [9009, 1.4025731086730957], [6074, 1.4099782705307007]]"
7006,a bollywood dance stage program on sony tv in india,7006,"[[9683, 1.4006996154785156]]","[[9683, 1.4006996154785156], [9859, 1.4050837755203247], [4799, 1.4068114757537842], [7006, 1.4132980108261108], [6379, 1.4160100221633911]]","[[9683, 1.4006996154785156], [9859, 1.4050837755203247], [4799, 1.4068114757537842], [7006, 1.4132980108261108], [6379, 1.4160100221633911], [735, 1.4316275119781494], [7351, 1.441484808921814], [4858, 1.4422671794891357], [5108, 1.4462652206420898], [7931, 1.451153039932251]]","[[9683, 1.4006996154785156], [9859, 1.4050837755203247], [4799, 1.4068114757537842], [7006, 1.4132980108261108], [6379, 1.4160100221633911], [735, 1.4316275119781494], [7351, 1.441484808921814], [4858, 1.4422671794891357], [5108, 1.4462652206420898], [7931, 1.451153039932251]]"
1485,a bollywood actress is posing for cameras,1485,"[[1485, 1.352631688117981]]","[[1485, 1.352631688117981], [5448, 1.3592031002044678], [3888, 1.367261290550232], [592, 1.3714563846588135], [3321, 1.3942055702209473]]","[[1485, 1.352631688117981], [5448, 1.3592031002044678], [3888, 1.367261290550232], [592, 1.3714563846588135], [3321, 1.3942055702209473], [2405, 1.3943626880645752], [9225, 1.3947447538375854], [7985, 1.396969199180603], [391, 1.4020657539367676], [7931, 1.4052609205245972]]","[[1485, 1.352631688117981], [5448, 1.3592031002044678], [3888, 1.367261290550232], [592, 1.3714563846588135], [3321, 1.3942055702209473], [2405, 1.3943626880645752], [9225, 1.3947447538375854], [7985, 1.396969199180603], [391, 1.4020657539367676], [7931, 1.4052609205245972]]"
5508,a boiled potato recipe is given,5508,"[[5508, 1.410663366317749]]","[[5508, 1.410663366317749], [8729, 1.4176284074783325], [4946, 1.4326415061950684], [9722, 1.4491238594055176], [9227, 1.4505722522735596]]","[[5508, 1.410663366317749], [8729, 1.4176284074783325], [4946, 1.4326415061950684], [9722, 1.4491238594055176], [9227, 1.4505722522735596], [6602, 1.463362455368042], [9735, 1.4721088409423828], [8598, 1.4774696826934814], [6242, 1.4841575622558594], [3703, 1.4858191013336182]]","[[5508, 1.410663366317749], [8729, 1.4176284074783325], [4946, 1.4326415061950684], [9722, 1.4491238594055176], [9227, 1.4505722522735596], [6602, 1.463362455368042], [9735, 1.4721088409423828], [8598, 1.4774696826934814], [6242, 1.4841575622558594], [3703, 1.4858191013336182]]"
4759,a bodybuilder lifts some weights outside,4759,"[[1337, 1.40916109085083]]","[[1337, 1.40916109085083], [3906, 1.4497939348220825], [870, 1.4551761150360107], [4759, 1.4841912984848022], [4031, 1.4980401992797852]]","[[1337, 1.40916109085083], [3906, 1.4497939348220825], [870, 1.4551761150360107], [4759, 1.4841912984848022], [4031, 1.4980401992797852], [3220, 1.4990909099578857], [7610, 1.5065642595291138], [1659, 1.520823359489441], [4468, 1.5259054899215698], [245, 1.52705717086792]]","[[1337, 1.40916109085083], [3906, 1.4497939348220825], [870, 1.4551761150360107], [4759, 1.4841912984848022], [4031, 1.4980401992797852], [3220, 1.4990909099578857], [7610, 1.5065642595291138], [1659, 1.520823359489441], [4468, 1.5259054899215698], [245, 1.52705717086792]]"
2969,a bob marley song splayed against photos of police brutality,2969,"[[2969, 1.3505752086639404]]","[[2969, 1.3505752086639404], [4874, 1.4316260814666748], [7875, 1.4351553916931152], [4347, 1.4642090797424316], [273, 1.503699779510498]]","[[2969, 1.3505752086639404], [4874, 1.4316260814666748], [7875, 1.4351553916931152], [4347, 1.4642090797424316], [273, 1.503699779510498], [8416, 1.5053942203521729], [7471, 1.533886432647705], [5608, 1.5399906635284424], [8490, 1.5419118404388428], [2881, 1.5442063808441162]]","[[2969, 1.3505752086639404], [4874, 1.4316260814666748], [7875, 1.4351553916931152], [4347, 1.4642090797424316], [273, 1.503699779510498], [8416, 1.5053942203521729], [7471, 1.533886432647705], [5608, 1.5399906635284424], [8490, 1.5419118404388428], [2881, 1.5442063808441162]]"
3888,a bollywood movie trailer,3888,"[[4348, 1.415486216545105]]","[[4348, 1.415486216545105], [6067, 1.4311676025390625], [6721, 1.4526416063308716], [3240, 1.4536316394805908], [7250, 1.4586163759231567]]","[[4348, 1.415486216545105], [6067, 1.4311676025390625], [6721, 1.4526416063308716], [3240, 1.4536316394805908], [7250, 1.4586163759231567], [9278, 1.463423252105713], [4795, 1.467655062675476], [1209, 1.472738265991211], [6229, 1.474202275276184], [8534, 1.4752461910247803]]","[[4348, 1.415486216545105], [6067, 1.4311676025390625], [6721, 1.4526416063308716], [3240, 1.4536316394805908], [7250, 1.4586163759231567], [9278, 1.463423252105713], [4795, 1.467655062675476], [1209, 1.472738265991211], [6229, 1.474202275276184], [8534, 1.4752461910247803]]"
746,a boy and a girl are dancing in a car,746,"[[1122, 1.3202488422393799]]","[[1122, 1.3202488422393799], [746, 1.3263192176818848], [2628, 1.4136202335357666], [2489, 1.4399256706237793], [7041, 1.4705479145050049]]","[[1122, 1.3202488422393799], [746, 1.3263192176818848], [2628, 1.4136202335357666], [2489, 1.4399256706237793], [7041, 1.4705479145050049], [7840, 1.4762585163116455], [8653, 1.4796220064163208], [4100, 1.4876272678375244], [8556, 1.4884828329086304], [8533, 1.4925507307052612]]","[[1122, 1.3202488422393799], [746, 1.3263192176818848], [2628, 1.4136202335357666], [2489, 1.4399256706237793], [7041, 1.4705479145050049], [7840, 1.4762585163116455], [8653, 1.4796220064163208], [4100, 1.4876272678375244], [8556, 1.4884828329086304], [8533, 1.4925507307052612]]"
3893,a boy and girl talking,3893,"[[6121, 1.4118107557296753]]","[[6121, 1.4118107557296753], [9711, 1.4145673513412476], [8964, 1.4218876361846924], [1882, 1.4282923936843872], [8048, 1.4292174577713013]]","[[6121, 1.4118107557296753], [9711, 1.4145673513412476], [8964, 1.4218876361846924], [1882, 1.4282923936843872], [8048, 1.4292174577713013], [885, 1.4377343654632568], [5086, 1.4379403591156006], [8709, 1.4391940832138062], [3893, 1.4406402111053467], [3726, 1.44082772731781]]","[[6121, 1.4118107557296753], [9711, 1.4145673513412476], [8964, 1.4218876361846924], [1882, 1.4282923936843872], [8048, 1.4292174577713013], [885, 1.4377343654632568], [5086, 1.4379403591156006], [8709, 1.4391940832138062], [3893, 1.4406402111053467], [3726, 1.44082772731781]]"
6876,a boy and girl standing on a deck,6876,"[[3384, 1.4008978605270386]]","[[3384, 1.4008978605270386], [106, 1.4201743602752686], [8895, 1.442298173904419], [6240, 1.4545938968658447], [9276, 1.4547531604766846]]","[[3384, 1.4008978605270386], [106, 1.4201743602752686], [8895, 1.442298173904419], [6240, 1.4545938968658447], [9276, 1.4547531604766846], [2353, 1.4640069007873535], [2628, 1.4672309160232544], [6814, 1.4719138145446777], [2930, 1.4725162982940674], [2712, 1.4727518558502197]]","[[3384, 1.4008978605270386], [106, 1.4201743602752686], [8895, 1.442298173904419], [6240, 1.4545938968658447], [9276, 1.4547531604766846], [2353, 1.4640069007873535], [2628, 1.4672309160232544], [6814, 1.4719138145446777], [2930, 1.4725162982940674], [2712, 1.4727518558502197]]"
6427,a boy and girl sitting next to each other and the boy is talking,6427,"[[1882, 1.3954122066497803]]","[[1882, 1.3954122066497803], [7417, 1.4188963174819946], [7379, 1.4204764366149902], [3664, 1.4371867179870605], [6387, 1.443937063217163]]","[[1882, 1.3954122066497803], [7417, 1.4188963174819946], [7379, 1.4204764366149902], [3664, 1.4371867179870605], [6387, 1.443937063217163], [5018, 1.4456127882003784], [5582, 1.4459004402160645], [9635, 1.4477083683013916], [984, 1.4493622779846191], [4021, 1.4586341381072998]]","[[1882, 1.3954122066497803], [7417, 1.4188963174819946], [7379, 1.4204764366149902], [3664, 1.4371867179870605], [6387, 1.443937063217163], [5018, 1.4456127882003784], [5582, 1.4459004402160645], [9635, 1.4477083683013916], [984, 1.4493622779846191], [4021, 1.4586341381072998]]"
4125,a boy and girl singing on the voice kids,4125,"[[2965, 1.4468693733215332]]","[[2965, 1.4468693733215332], [7381, 1.4499032497406006], [5573, 1.4500081539154053], [2115, 1.4501129388809204], [4575, 1.4576802253723145]]","[[2965, 1.4468693733215332], [7381, 1.4499032497406006], [5573, 1.4500081539154053], [2115, 1.4501129388809204], [4575, 1.4576802253723145], [8086, 1.458864450454712], [9573, 1.463741421699524], [9051, 1.4648367166519165], [9149, 1.4695234298706055], [57, 1.472952127456665]]","[[2965, 1.4468693733215332], [7381, 1.4499032497406006], [5573, 1.4500081539154053], [2115, 1.4501129388809204], [4575, 1.4576802253723145], [8086, 1.458864450454712], [9573, 1.463741421699524], [9051, 1.4648367166519165], [9149, 1.4695234298706055], [57, 1.472952127456665]]"
5720,a boy and girl sing with a cartoon character,5720,"[[1524, 1.4298347234725952]]","[[1524, 1.4298347234725952], [7222, 1.4592523574829102], [4981, 1.4596481323242188], [1538, 1.4698314666748047], [2134, 1.4762184619903564]]","[[1524, 1.4298347234725952], [7222, 1.4592523574829102], [4981, 1.4596481323242188], [1538, 1.4698314666748047], [2134, 1.4762184619903564], [5679, 1.4795490503311157], [6410, 1.4806461334228516], [4373, 1.4829301834106445], [4532, 1.4863132238388062], [6881, 1.4902048110961914]]","[[1524, 1.4298347234725952], [7222, 1.4592523574829102], [4981, 1.4596481323242188], [1538, 1.4698314666748047], [2134, 1.4762184619903564], [5679, 1.4795490503311157], [6410, 1.4806461334228516], [4373, 1.4829301834106445], [4532, 1.4863132238388062], [6881, 1.4902048110961914]]"
6998,a boy and girl playing with food,6998,"[[6998, 1.3437995910644531]]","[[6998, 1.3437995910644531], [6788, 1.3944721221923828], [6709, 1.4186503887176514], [3682, 1.431937336921692], [4354, 1.4348653554916382]]","[[6998, 1.3437995910644531], [6788, 1.3944721221923828], [6709, 1.4186503887176514], [3682, 1.431937336921692], [4354, 1.4348653554916382], [2356, 1.441861629486084], [1854, 1.4483709335327148], [3664, 1.4650933742523193], [75, 1.4652702808380127], [2260, 1.4755337238311768]]","[[6998, 1.3437995910644531], [6788, 1.3944721221923828], [6709, 1.4186503887176514], [3682, 1.431937336921692], [4354, 1.4348653554916382], [2356, 1.441861629486084], [1854, 1.4483709335327148], [3664, 1.4650933742523193], [75, 1.4652702808380127], [2260, 1.4755337238311768]]"
1302,a boy and girl laugh while playing minecraft,1302,"[[109, 1.4648780822753906]]","[[109, 1.4648780822753906], [3255, 1.4675920009613037], [9570, 1.4696400165557861], [4361, 1.4696738719940186], [7353, 1.4781523942947388]]","[[109, 1.4648780822753906], [3255, 1.4675920009613037], [9570, 1.4696400165557861], [4361, 1.4696738719940186], [7353, 1.4781523942947388], [4477, 1.4802541732788086], [500, 1.4822765588760376], [5207, 1.482911467552185], [3879, 1.4834529161453247], [7574, 1.4874821901321411]]","[[109, 1.4648780822753906], [3255, 1.4675920009613037], [9570, 1.4696400165557861], [4361, 1.4696738719940186], [7353, 1.4781523942947388], [4477, 1.4802541732788086], [500, 1.4822765588760376], [5207, 1.482911467552185], [3879, 1.4834529161453247], [7574, 1.4874821901321411]]"
3940,a boy and girl get out of a car,3940,"[[3940, 1.4097070693969727]]","[[3940, 1.4097070693969727], [7263, 1.4158778190612793], [3505, 1.4178917407989502], [2862, 1.4268804788589478], [4021, 1.434462547302246]]","[[3940, 1.4097070693969727], [7263, 1.4158778190612793], [3505, 1.4178917407989502], [2862, 1.4268804788589478], [4021, 1.434462547302246], [2628, 1.4363903999328613], [8653, 1.4412658214569092], [6121, 1.456371784210205], [1829, 1.4606666564941406], [6120, 1.461287498474121]]","[[3940, 1.4097070693969727], [7263, 1.4158778190612793], [3505, 1.4178917407989502], [2862, 1.4268804788589478], [4021, 1.434462547302246], [2628, 1.4363903999328613], [8653, 1.4412658214569092], [6121, 1.456371784210205], [1829, 1.4606666564941406], [6120, 1.461287498474121]]"
6869,a boy and girl fall in love,6869,"[[2550, 1.3875523805618286]]","[[2550, 1.3875523805618286], [3726, 1.4243959188461304], [9711, 1.4255149364471436], [885, 1.4292607307434082], [2628, 1.435255527496338]]","[[2550, 1.3875523805618286], [3726, 1.4243959188461304], [9711, 1.4255149364471436], [885, 1.4292607307434082], [2628, 1.435255527496338], [6121, 1.4409399032592773], [50, 1.4409654140472412], [2489, 1.4423081874847412], [8037, 1.4441425800323486], [3640, 1.4462255239486694]]","[[2550, 1.3875523805618286], [3726, 1.4243959188461304], [9711, 1.4255149364471436], [885, 1.4292607307434082], [2628, 1.435255527496338], [6121, 1.4409399032592773], [50, 1.4409654140472412], [2489, 1.4423081874847412], [8037, 1.4441425800323486], [3640, 1.4462255239486694]]"
